"EWT (seconds)","Stops","Frequency"
505.04302095097665,"First",1
464.40720386724405,"First",1
462.7059138887234,"First",1
432.8209163289196,"First",1
659.623338476643,"First",0
815.7771873803844,"First",0
619.2239674616428,"First",0
696.2878131632114,"First",0
625.181142216229,"First",0
736.6449413123659,"First",0
749.0108603553253,"First",0
548.6123403878661,"First",0
618.4184689072157,"First",0
638.0288895770913,"First",0
536.547527599649,"First",0
774.4354961235156,"First",0
750.6403901091182,"First",0
1661.274482403395,"First",0
675.5151291228901,"First",0
852.4188762933529,"First",0
707.8913670295536,"First",0
877.1625531749022,"First",0
625.3443569800843,"First",0
726.5816476882213,"First",0
803.6280577228747,"First",0
775.5988678626767,"First",0
601.3591160375348,"First",0
733.8693827804265,"First",0
750.933656122019,"First",0
645.651909179363,"First",0
697.1029039765665,"First",0
658.4514731518905,"First",0
845.4753792494556,"First",0
844.5642289518479,"First",0
642.5346382765171,"First",0
641.6189502992327,"First",0
848.3885974803619,"First",0
751.8653971150688,"First",0
756.5365462620294,"First",0
697.2051323160692,"First",0
658.3553261137325,"First",0
625.0107574860375,"First",0
662.570342663752,"First",0
644.9765960277499,"First",0
713.7323949137661,"First",0
678.5578135280794,"First",0
817.3839507965782,"First",0
811.5451718009357,"First",0
948.4845240325044,"First",0
710.4575439546942,"First",0
612.2951930284726,"First",0
611.1908653435186,"First",0
693.587226732195,"First",0
668.5230124729136,"First",0
833.572749694495,"First",0
642.7528063135853,"First",0
588.0631153675662,"First",0
880.1216712230486,"First",0
854.9779831317851,"First",0
820.7113495157812,"First",0
683.1486716177297,"First",0
844.5205307547927,"First",0
830.1085581258866,"First",0
1841.4325748398487,"First",0
940.1389607142796,"First",0
754.7594577841512,"First",0
646.9347955491344,"First",0
772.3561441053488,"First",0
608.6585444049011,"First",0
803.2902719509682,"First",0
784.2509091623151,"First",0
798.5218246944905,"First",0
714.3039765268647,"First",0
753.1549382731729,"First",0
891.0989947246944,"First",0
919.907901571434,"First",0
736.789948217895,"First",0
833.690890908574,"First",0
918.3148595170708,"First",0
687.5618702422444,"First",0
949.3107834593126,"First",0
745.3527342865442,"First",0
729.8176760732114,"First",0
642.1256973715964,"First",0
899.0273321323784,"First",0
662.5091227481612,"First",0
597.6370754997084,"First",0
718.1632652717778,"First",0
688.7547645281347,"First",0
801.9359880976888,"First",0
799.2302379522058,"First",0
757.1424580800252,"First",0
670.219107901654,"First",0
789.3629410755068,"First",0
847.3379442385096,"First",0
622.0715772404149,"First",0
694.1595816329997,"First",0
701.8996861366655,"First",0
668.849161504398,"First",0
673.3196147299279,"First",0
825.4717113908696,"First",0
648.5751689666259,"First",0
753.3182079529712,"First",0
941.0420589118753,"First",0
727.051046474518,"First",0
596.373202559802,"First",0
637.9183443438448,"First",0
779.5266025201289,"First",0
603.2248267525448,"First",0
728.5752877419661,"First",0
1015.1048900800824,"First",0
748.8870465470351,"First",0
585.6817260947856,"First",0
704.1987698294099,"First",0
679.2586416092088,"First",0
755.1521298109036,"First",0
558.6197843357967,"First",0
739.0176593828155,"First",0
598.6270192634549,"First",0
768.6373174340853,"First",0
1165.8390778198116,"First",0
670.7408480601243,"First",0
746.6432262661508,"First",0
719.4107657212636,"First",0
753.2505746743753,"First",0
614.4118668515202,"First",0
628.3410418167769,"First",0
607.5528838348118,"First",0
570.3266532483955,"First",0
567.2328177212491,"First",0
577.7218464288003,"First",0
551.3360502176498,"First",0
681.6667112143806,"First",0
783.0315944669609,"First",0
690.1372443095104,"First",0
640.9778442875212,"First",0
784.7981387391591,"First",0
873.3539992429613,"First",0
632.3295139944788,"First",0
649.6014902015664,"First",0
674.8656909924227,"First",0
617.2492960145088,"First",0
686.7507012877029,"First",0
623.0292152107579,"First",0
611.1578072329231,"First",0
830.7987722757507,"First",0
638.6642915163433,"First",0
609.3410901522308,"First",0
573.7875392424365,"First",0
552.2792288030969,"First",0
541.6798969428019,"First",0
525.379914434027,"First",0
634.1555617823935,"First",0
647.7524847445243,"First",0
729.6374598676082,"First",0
719.4803546640736,"First",0
674.1517408853667,"First",0
552.9771976241407,"First",0
613.3141856874744,"First",0
731.804698581961,"First",0
662.1141219548102,"First",0
579.3905074825527,"First",0
702.4318719247797,"First",0
587.7011908223121,"First",0
502.48625276373855,"First",0
511.4852836243764,"First",0
566.1125013361137,"First",0
534.5926145223862,"First",0
590.4713732283954,"First",0
615.8631242155694,"First",0
587.4679386689178,"First",0
535.8932924998921,"First",0
665.215541783583,"First",0
590.833432831804,"First",0
529.0118380291918,"First",0
692.049291685127,"First",0
571.2604431115889,"First",0
941.3879139298767,"First",0
638.4152607447631,"First",0
565.3123158626962,"First",0
514.6290828964545,"First",0
580.3944783221842,"First",0
625.5395526437985,"First",0
704.4327784133757,"First",0
553.5179225619262,"First",0
636.1728641438557,"First",0
726.129524957382,"First",0
565.9433681455561,"First",0
952.749914355442,"First",0
702.0851084434463,"First",0
546.8921900946167,"First",0
672.1721512624507,"First",0
546.1356847815442,"First",0
617.0670371875707,"First",0
618.1081593335061,"First",0
688.4797815957802,"First",0
629.3526148789448,"First",0
565.4447631752861,"First",0
744.9692859180564,"First",0
717.1033539634387,"First",0
682.7264655154103,"First",0
730.0398838584108,"First",0
647.6862965833272,"First",0
747.1347961460367,"First",0
580.1683641202676,"First",0
615.6749386267932,"First",0
718.1525519618898,"First",0
758.0350176304595,"First",0
657.7151391727049,"First",0
560.5960127800308,"First",0
628.1465232012222,"First",0
563.2930457650554,"First",0
1686.987693448306,"First",0
611.2188214656925,"First",0
586.6969940704997,"First",0
598.5050828454255,"First",0
740.3223968373112,"First",0
739.8983698478044,"First",0
755.0847594330011,"First",0
629.650205447565,"First",0
758.3256819518796,"First",0
562.3627338458197,"First",0
663.3185429872573,"First",0
562.46779655362,"First",0
586.1960425967707,"First",0
596.1710895298377,"First",0
687.2115988580139,"First",0
656.6032662436908,"First",0
788.7089623015704,"First",0
617.2837145154161,"First",0
853.1170333390933,"First",0
1015.3616140727837,"First",0
870.5398617218663,"First",0
358.94960149959434,"First",1
306.75157549711105,"First",1
358.6397569975158,"First",1
320.5451008666426,"First",1
318.04120852359506,"First",1
331.16221141130836,"First",1
350.2079568813464,"First",1
375.65904802517997,"First",1
368.13891948032926,"First",1
355.20307026023073,"First",1
366.22337033483007,"First",1
346.2332083157061,"First",1
325.47399583198546,"First",1
323.92149265338736,"First",1
350.2740463217289,"First",1
332.83153057379747,"First",1
367.93431172023736,"First",1
325.6778317804632,"First",1
342.9737185117607,"First",1
354.3028010061812,"First",1
325.0595146357963,"First",1
374.55363467134737,"First",1
350.43403462323823,"First",1
318.727233864662,"First",1
324.9049944307479,"First",1
295.1490897789978,"First",1
379.0242774982962,"First",1
330.3748067826664,"First",1
362.4257877076334,"First",1
356.86971983324315,"First",1
347.91666768919686,"First",1
362.2397756559623,"First",1
348.25872207913176,"First",1
344.5081934981098,"First",1
331.034809892024,"First",1
314.476469348749,"First",1
331.20474192080366,"First",1
438.85111122358904,"First",1
413.57799471829145,"First",1
442.87105474414454,"First",1
445.12972174777633,"First",0
446.72361954380966,"First",1
390.20339948938096,"First",1
590.6376716309105,"First",0
390.9354723379901,"First",1
395.10858961393166,"First",1
412.3285781819412,"First",1
385.08402587261565,"First",1
340.9142600125249,"First",1
444.774387573192,"First",0
388.6344676445408,"First",1
489.97396866232816,"First",0
419.86574279602416,"First",1
373.562091237382,"First",1
414.9371688822351,"First",1
