date,hour,minute,slowness
2017-01-02,7,0,2.0
2017-01-03,7,0,0.0
2017-01-04,7,0,0.0
2017-01-05,7,0,1.6
2017-01-06,7,0,4.2
2017-01-09,7,0,1.5
2017-01-10,7,0,0.8
2017-01-11,7,0,1.0
2017-01-12,7,0,2.2
2017-01-13,7,0,4.9
2017-01-16,7,0,8.1
2017-01-17,7,0,20.3
2017-01-18,7,0,10.8
2017-01-19,7,0,15.6
2017-01-20,7,0,13.6
2017-01-23,7,0,26.7
2017-01-24,7,0,12.5
2017-01-26,7,0,21.4
2017-01-27,7,0,15.2
2017-01-30,7,0,29.0
2017-01-31,7,0,28.7
2017-02-01,7,0,43.9
2017-02-02,7,0,35.7
2017-02-03,7,0,17.8
2017-02-06,7,0,24.9
2017-02-07,7,0,39.3
2017-02-08,7,0,42.3
2017-02-09,7,0,30.5
2017-02-10,7,0,37.8
2017-02-13,7,0,22.7
2017-02-14,7,0,40.9
2017-02-15,7,0,30.6
2017-02-16,7,0,32.4
2017-02-17,7,0,28.2
2017-02-20,7,0,59.1
2017-02-21,7,0,45.7
2017-02-22,7,0,38.4
2017-02-23,7,0,50.6
2017-02-24,7,0,26.5
2017-03-02,7,0,18.6
2017-03-03,7,0,23.0
2017-03-06,7,0,47.7
2017-03-07,7,0,26.4
2017-03-08,7,0,48.8
2017-03-09,7,0,35.8
2017-03-10,7,0,40.4
2017-03-13,7,0,34.7
2017-03-14,7,0,41.7
2017-03-15,7,0,105.6
2017-03-16,7,0,48.0
2017-03-17,7,0,42.1
2017-03-20,7,0,39.7
2017-03-21,7,0,57.2
2017-03-22,7,0,56.4
2017-03-23,7,0,51.3
2017-03-24,7,0,41.7
2017-03-27,7,0,32.2
2017-03-28,7,0,53.3
2017-03-29,7,0,59.2
2017-03-30,7,0,44.3
2017-03-31,7,0,48.6
2017-04-03,7,0,62.2
2017-04-04,7,0,46.6
2017-04-05,7,0,40.9
2017-04-06,7,0,66.9
2017-04-07,7,0,106.4
2017-04-10,7,0,52.1
2017-04-11,7,0,47.4
2017-04-12,7,0,62.1
2017-04-13,7,0,42.6
2017-04-17,7,0,64.9
2017-04-18,7,0,56.6
2017-04-19,7,0,37.6
2017-04-20,7,0,30.8
2017-04-24,7,0,54.1
2017-04-25,7,0,45.4
2017-04-26,7,0,47.4
2017-04-27,7,0,49.6
2017-04-28,7,0,84.6
2017-05-02,7,0,71.6
2017-05-03,7,0,53.2
2017-05-04,7,0,53.7
2017-05-05,7,0,80.3
2017-05-08,7,0,35.7
2017-05-09,7,0,62.3
2017-05-10,7,0,59.0
2017-05-11,7,0,42.6
2017-05-12,7,0,45.7
2017-05-15,7,0,42.8
2017-05-16,7,0,50.9
2017-05-17,7,0,43.7
2017-05-18,7,0,44.3
2017-05-19,7,0,66.1
2017-05-22,7,0,47.5
2017-05-23,7,0,42.6
2017-05-24,7,0,43.2
2017-05-25,7,0,33.6
2017-05-26,7,0,33.5
2017-05-29,7,0,63.9
2017-05-30,7,0,37.4
2017-05-31,7,0,34.6
2017-06-01,7,0,52.6
2017-06-02,7,0,13.9
