trip,headway
101510,2233.333333
101610,555.789474
101610,453.333333
101710,495.789474
101710,527.368421
101810,625.263158
101810,490.000000
102110,1547.368421
102110,1657.894737
102410,315.789474
102410,325.263158
102510,748.235294
102510,800.000000
102610,1051.578947
102610,1083.157895
106A10,470.526316
106A10,400.000000
107T10,808.421053
107T10,790.000000
107T31,2700.000000
107T31,1800.000000
115610,631.578947
115610,600.000000
115631,2700.000000
115631,2880.000000
117710,900.000000
117710,900.000000
117731,2200.000000
117731,2700.000000
117742,2400.000000
117810,836.842105
117810,850.000000
117831,1105.263158
117831,1190.000000
117832,2400.000000
117833,2400.000000
117842,1800.000000
118C10,628.421053
118C10,610.000000
118C21,1800.000000
118C22,2400.000000
118C24,900.000000
118C41,3600.000000
118Y10,470.526316
118Y10,495.789474
119C10,824.210526
119C10,934.736842
119L10,2747.368421
119L10,2700.000000
120610,1000.000000
121G10,972.631579
128Y10,565.263158
128Y10,710.526316
129F10,543.157895
129F10,584.210526
129F41,1620.000000
129F41,2160.000000
138Y10,581.052632
138Y10,606.315789
148L10,476.842105
148L10,460.000000
148P10,846.315789
148P10,796.666667
170110,593.684211
170151,1260.000000
170210,694.736842
170210,650.000000
170310,1143.157895
170310,1116.666667
170510,296.842105
170510,325.263158
170910,517.894737
170921,1875.000000
172010,423.157895
172010,429.473684
172021,543.333333
172110,514.736842
172210,584.210526
172210,600.000000
172610,641.052632
172610,596.666667
172651,1200.000000
172651,2700.000000
172J10,331.578947
172J10,397.894737
172K10,742.105263
172K10,820.000000
172N10,729.473684
172N10,697.894737
172N21,720.000000
172N22,2100.000000
172P10,448.421053
172P10,446.666667
172R10,258.947368
172R10,300.000000
172U10,836.842105
172U10,794.117647
172X10,360.000000
172X10,438.947368
172Y10,590.526316
172Y10,526.666667
173010,596.470588
173210,1016.842105
173210,1083.333333
173810,925.263158
173810,916.666667
174110,707.368421
174110,640.000000
174121,3600.000000
174210,663.333333
174210,680.000000
174310,663.333333
174310,783.333333
174410,808.421053
174410,656.666667
174421,3600.000000
174510,1057.894737
174510,943.333333
174541,3600.000000
174M10,1016.842105
174M10,996.666667
175610,1054.736842
175610,893.333333
175710,903.157895
175810,770.526316
175810,683.333333
175910,710.526316
175910,720.000000
175921,3600.000000
175941,3600.000000
175P10,710.526316
175P10,713.333333
175T10,546.315789
175T10,476.842105
176010,1222.105263
176010,1166.666667
176041,3600.000000
176410,761.052632
176410,877.894737
176441,3600.000000
176441,1800.000000
176510,874.736842
176510,912.631579
176610,1800.000000
176710,798.947368
176710,636.666667
177110,1007.368421
177110,993.333333
177210,615.789474
177210,573.333333
177310,877.894737
177310,813.333333
177510,1783.333333
177510,1694.117647
177810,1064.210526
177H10,1152.631579
177H10,1173.333333
177P10,780.000000
177Y10,442.105263
177Y10,568.421053
178010,776.842105
178010,730.000000
178210,858.947368
178310,849.473684
178310,800.000000
178322,2700.000000
178341,2700.000000
178341,2400.000000
178510,833.684211
178510,931.578947
178610,388.421053
178610,438.947368
178710,704.210526
178710,623.333333
178810,1035.789474
178810,910.000000
178851,2400.000000
178851,2400.000000
178A10,729.473684
178A10,650.000000
178L10,704.210526
178L10,710.000000
178L22,2700.000000
178T10,855.789474
178T10,843.157895
178Y10,363.333333
178Y10,373.333333
178Y21,1400.000000
178Y21,1350.000000
179X10,874.736842
179X10,910.000000
199D10,852.631579
199D10,763.333333
200210,486.315789
200410,536.842105
200410,524.210526
200510,767.368421
200610,407.368421
200610,404.210526
200710,372.631579
200710,382.105263
200810,318.947368
200810,334.736842
200841,461.052632
200841,492.631579
200910,457.894737
200910,495.789474
201010,729.473684
201010,862.105263
201021,2400.000000
201110,628.421053
201110,672.631579
201210,1484.210526
201310,372.631579
201310,391.578947
201410,527.368421
201410,490.000000
201610,622.105263
201610,701.052632
201710,750.000000
201810,1087.500000
201910,674.117647
201910,635.294118
202010,1547.368421
202010,1466.666667
202110,423.157895
202110,416.842105
202210,1452.631579
202210,1594.736842
202251,3600.000000
202251,2700.000000
202310,931.578947
202410,1218.947368
202510,612.631579
202510,550.000000
202610,2052.631579
202610,2021.052632
202810,1200.000000
202910,763.333333
203010,1233.333333
203110,770.526316
203110,881.052632
203210,767.368421
204110,1578.947368
204110,1483.333333
205810,862.105263
205810,896.842105
205910,363.157895
205910,388.421053
206010,1705.263158
207610,1061.052632
207610,1030.000000
207910,745.263158
208010,805.263158
208010,821.052632
208810,1500.000000
208810,1626.315789
208V10,685.263158
208V10,694.736842
209C10,1127.368421
209C10,1013.333333
209P1,1849.411765
209P1,1882.500000
209P10,562.105263
209P10,792.631579
210010,429.473684
210010,555.789474
210110,2866.666667
210141,3600.000000
210410,486.666667
210410,520.000000
210510,1320.000000
210510,1266.666667
211L10,1166.666667
211L10,1300.000000
211V10,1436.842105
212310,808.421053
212710,748.421053
213C10,1042.105263
213C10,1086.315789
213C31,2178.947368
213C31,2242.105263
216110,1007.368421
216110,976.666667
217110,1626.315789
217510,1427.368421
218210,634.736842
218210,776.842105
220110,565.263158
220110,562.105263
220210,325.263158
220210,309.473684
220310,952.941176
220310,935.294118
220410,3600.000000
229010,413.684211
229010,587.368421
229021,1500.000000
