route,freq_class
5030-10-0,1
6803-10-0,1
7016-10-0,0
6042-10-0,0
178Y-10-0,0
2435-10-0,1
4001-10-0,1
637G-10-0,1
6058-10-0,0
574A-10-0,1
178L-10-0,0
6063-10-0,0
6030-10-0,0
6028-10-0,0
3099-10-0,0
9717-10-0,1
2182-10-0,0
1745-10-0,1
5632-10-0,1
2025-10-0,0
2019-10-0,0
9051-10-0,0
6027-10-0,0
1177-10-0,1
177H-10-0,1
2020-10-0,1
374M-10-0,0
9789-10-0,0
5106-10-0,1
8002-10-0,2
273J-10-0,0
2766-10-0,0
3745-10-0,0
701U-10-0,1
809T-10-0,2
6075-10-0,0
2582-10-0,1
4221-10-0,1
352A-10-0,1
4018-10-0,0
4024-10-0,0
719R-10-0,1
2590-10-0,0
8043-10-0,2
6823-10-0,1
3791-10-0,0
875H-10-0,0
1767-10-0,0
2127-10-0,0
6071-10-0,1
2059-10-0,0
373T-10-0,0
3006-10-0,0
1709-10-0,0
3141-10-0,0
509M-10-0,1
4011-10-0,0
4708-10-0,1
546J-10-0,0
354M-10-0,1
172U-10-0,0
775P-10-0,2
476A-10-0,1
857C-10-0,1
857A-10-0,1
9004-10-0,0
8622-10-0,0
2021-10-0,0
3686-10-0,0
407G-10-0,0
407J-10-0,0
6960-10-0,0
172X-10-0,0
3721-10-0,0
574R-10-0,0
6001-10-0,1
675G-10-0,1
9012-10-0,2
2016-10-0,0
1018-10-0,0
6022-10-0,1
607G-10-0,1
574C-10-0,1
1787-10-0,0
9785-10-0,0
9020-10-0,0
875A-10-0,0
407W-10-0,1
5142-10-0,0
7600-10-0,1
2715-10-0,0
3778-10-0,0
577T-10-0,1
3738-10-0,0
208V-10-0,0
273V-10-0,2
5029-10-0,0
5018-10-0,1
3027-10-0,1
2007-10-0,0
2708-10-0,0
175P-10-0,0
2008-10-0,0
6836-10-0,1
8594-10-0,0
2718-10-0,0
938L-10-0,0
5391-10-0,0
5015-10-0,0
5290-10-0,1
6036-10-0,0
2719-10-0,0
6074-10-0,0
1026-10-0,1
5143-10-0,1
7545-10-0,0
6048-10-0,0
2726-10-0,0
3729-10-0,0
2711-10-0,0
7013-10-0,1
1756-10-0,1
2363-10-0,1
6034-10-0,0
1780-10-0,0
8006-10-0,1
3160-10-0,0
5021-10-0,1
6835-10-0,1
3795-10-0,1
8605-10-0,0
9191-10-0,0
2451-10-0,1
2026-10-0,2
5701-10-0,0
709G-10-0,1
9784-10-0,0
4017-10-0,0
888P-10-0,1
5128-10-0,0
342C-10-0,1
148L-10-0,0
847J-10-0,2
6092-10-0,1
1788-10-0,1
3731-10-0,0
675R-10-0,1
172R-10-0,0
3734-10-0,0
948A-10-0,1
6840-10-0,0
5144-10-0,1
3029-10-0,0
8549-10-0,1
374V-10-0,0
5317-10-0,1
778J-10-0,2
5022-10-0,0
5141-10-0,1
5757-10-0,0
3021-10-0,1
675I-10-0,0
6820-10-0,0
4010-10-0,2
271A-10-0,0
3712-10-0,0
2762-10-0,0
4734-10-0,0
8194-10-0,1
6805-10-0,1
5370-10-0,0
6041-10-0,0
6056-10-0,0
2203-10-0,1
2523-10-0,0
8544-10-0,2
478P-10-0,1
8542-10-0,1
5108-10-0,0
2100-10-0,0
2088-10-0,1
5107-10-0,0
6015-10-0,0
737A-10-0,0
9018-10-0,0
9008-10-0,0
271P-10-0,1
172K-10-0,0
1758-10-0,0
2011-10-0,0
2769-10-0,1
3901-10-0,1
809U-10-0,1
179X-10-0,1
1178-10-0,1
5024-10-0,0
3024-10-0,1
6825-10-0,0
4210-10-0,0
475R-10-0,0
107T-10-0,0
175T-10-0,0
609F-10-0,0
702C-10-0,1
702U-10-0,1
930P-10-0,0
2460-10-0,1
2583-10-0,1
6013-10-0,1
3069-10-0,0
372U-10-0,0
3746-10-0,0
4003-10-0,1
5105-10-0,0
5119-10-0,1
6913-10-0,0
