,route,latitude,longitude
0,1018-10-0,-23.448158258932303,-46.62754753915906
1,1018-10-0,-23.450794109667424,-46.62796135499018
2,1018-10-0,-23.45366327466222,-46.62905597974644
3,1018-10-0,-23.45703625243931,-46.63092645952544
4,1018-10-0,-23.461480836261952,-46.63014509787177
5,1018-10-0,-23.460572057488832,-46.62752928552926
6,1018-10-0,-23.459929972523792,-46.62409149479336
7,1018-10-0,-23.46071218639066,-46.6218751725551
8,1018-10-0,-23.459082124863304,-46.6205612780907
9,1018-10-0,-23.457787764168923,-46.617377108518625
10,1018-10-0,-23.45903315516707,-46.61518255546441
11,1018-10-0,-23.46142427700972,-46.61562811718593
12,1018-10-0,-23.46337721058763,-46.61654903573705
13,1018-10-0,-23.46658892242733,-46.61612101056866
14,1018-10-0,-23.470588541578376,-46.61730071670384
15,1018-10-0,-23.472574885347893,-46.616329144214156
16,1018-10-0,-23.473513861921386,-46.61438827185587
17,1018-10-0,-23.475372389733902,-46.61281346166939
18,1018-10-0,-23.47707163023554,-46.61052583140169
19,1018-10-0,-23.479240983323464,-46.611463908763625
20,1018-10-0,-23.481272090328993,-46.6123752288787
21,1018-10-0,-23.48347397578375,-46.613910876708466
22,1018-10-0,-23.485462632005046,-46.616279626029474
23,1018-10-0,-23.486558012153097,-46.619370535760815
24,1018-10-0,-23.487785347709377,-46.62177827334933
25,1018-10-0,-23.487118808151894,-46.6236950988194
26,1018-10-0,-23.49056259661702,-46.624549078197774
27,1018-10-0,-23.494212175766947,-46.62491993378585
28,1018-10-0,-23.496578658469552,-46.623218028846495
29,1018-10-0,-23.498530566336036,-46.6234008608611
30,1018-10-0,-23.500794964741438,-46.623532199529826
31,1018-10-0,-23.50271086004699,-46.62357744745699
32,1026-10-0,-23.46962934060687,-46.70960391590461
33,1026-10-0,-23.471347624590514,-46.708985705777785
34,1026-10-0,-23.47174606400941,-46.70764090233061
35,1026-10-0,-23.471762675363546,-46.70560643810906
36,1026-10-0,-23.47024690945036,-46.70542040883624
37,1026-10-0,-23.469867535169524,-46.7031125851828
38,1026-10-0,-23.47124749108607,-46.700910009367185
39,1026-10-0,-23.473110712046147,-46.70132955392245
40,1026-10-0,-23.475057129143487,-46.70091366470119
41,1026-10-0,-23.476889893369428,-46.70060028996191
42,1026-10-0,-23.4778435913076,-46.700112872998545
43,1026-10-0,-23.476173214840816,-46.69920483105679
44,1026-10-0,-23.475753715616282,-46.69736261563677
45,1026-10-0,-23.476154895689504,-46.69565324265872
46,1026-10-0,-23.47808305891237,-46.69509488075399
47,1026-10-0,-23.479571478750294,-46.695710463998836
48,1026-10-0,-23.48116614891103,-46.69556412366489
49,1026-10-0,-23.48353598226931,-46.6951783680107
50,1026-10-0,-23.485777426296462,-46.69637387118827
51,1026-10-0,-23.489599069664497,-46.69850686880563
52,106A-10-0,-23.50037798429193,-46.624827209002085
53,106A-10-0,-23.504622823260235,-46.62494446894009
54,106A-10-0,-23.506382762899776,-46.626128695043015
55,106A-10-0,-23.50935766466919,-46.6262077419893
56,106A-10-0,-23.512517251989884,-46.62930486922599
57,106A-10-0,-23.519777434930035,-46.630303268891105
58,106A-10-0,-23.525644196997135,-46.6312803745663
59,106A-10-0,-23.528956374131514,-46.631823384553364
60,106A-10-0,-23.531844106514523,-46.63275496429705
61,106A-10-0,-23.534887970690292,-46.63362824420072
62,106A-10-0,-23.537064663019038,-46.63429377028831
63,106A-10-0,-23.539130142643916,-46.63491828898549
64,106A-10-0,-23.541136800250587,-46.635092648401475
65,106A-10-0,-23.54543659828741,-46.636877927588316
66,106A-10-0,-23.54892698128773,-46.640095902289595
67,106A-10-0,-23.55010204946143,-46.64323291278896
68,106A-10-0,-23.553292768424697,-46.647914687282764
69,106A-10-0,-23.55728341534451,-46.65221108695897
70,106A-10-0,-23.56347512358917,-46.65670021100195
71,106A-10-0,-23.568864673645024,-46.6608248915468
72,106A-10-0,-23.571688624531973,-46.66408523671345
73,106A-10-0,-23.5753410960467,-46.669081923737004
74,106A-10-0,-23.57808163421413,-46.675116575457075
75,106A-10-0,-23.582062558799063,-46.67424778278608
76,106A-10-0,-23.586466908005967,-46.67399077960785
77,106A-10-0,-23.587837861229897,-46.67901142739221
78,106A-10-0,-23.588515687759973,-46.68152639490489
79,106A-10-0,-23.59050328470115,-46.68152042745261
80,106A-10-0,-23.593071074036224,-46.680770670084904
81,106A-10-0,-23.594957579907916,-46.681719552207
82,106A-10-0,-23.595774711109573,-46.6860930315112
83,106A-10-0,-23.594293912115425,-46.68981107384095
84,106A-10-0,-23.591375376724333,-46.688836926355066
85,106A-10-0,-23.589662765690388,-46.688224452421615
86,107T-10-0,-23.481390552362196,-46.603262697982444
87,107T-10-0,-23.480633451659813,-46.605937311008525
88,107T-10-0,-23.479104744206484,-46.60842263803048
89,107T-10-0,-23.478100244551467,-46.610749641343816
90,107T-10-0,-23.48127062428349,-46.61237241081578
91,107T-10-0,-23.483471961723957,-46.61390848922662
92,107T-10-0,-23.485460517282025,-46.616277343117375
93,107T-10-0,-23.48699039936199,-46.61906274116672
94,107T-10-0,-23.489759364830615,-46.61893794142975
95,107T-10-0,-23.491951340207734,-46.61808416974739
96,107T-10-0,-23.493827380907682,-46.61680822784933
97,107T-10-0,-23.49593410072011,-46.61530823572919
98,107T-10-0,-23.49836019447878,-46.61577292753904
99,107T-10-0,-23.500277283075878,-46.615095846595715
100,107T-10-0,-23.50006291510545,-46.61684389087228
101,107T-10-0,-23.49999262382293,-46.619378883332445
102,107T-10-0,-23.49990238213803,-46.62252813586674
103,107T-10-0,-23.50085723558782,-46.62485216546041
104,107T-10-0,-23.50419080483092,-46.62492884934891
105,107T-10-0,-23.50754235448677,-46.62501815985487
106,107T-10-0,-23.51060877853865,-46.62510730754842
107,107T-10-0,-23.51301732784743,-46.62520819355045
108,107T-10-0,-23.515024221757916,-46.62525835338272
109,107T-10-0,-23.518150020441936,-46.62576069652343
110,107T-10-0,-23.518866811477196,-46.63017561570432
111,107T-10-0,-23.52564721372236,-46.63128071369462
112,107T-10-0,-23.528959310729224,-46.63182420679804
113,107T-10-0,-23.531846962418335,-46.63275607150639
114,107T-10-0,-23.53504717849646,-46.63367616462847
115,107T-10-0,-23.53842820306689,-46.636037943318264
116,107T-10-0,-23.544294509337334,-46.64269660132948
117,107T-10-0,-23.549182588104436,-46.644217226879455
118,107T-10-0,-23.550241406682304,-46.64697089705346
119,107T-10-0,-23.551422522276816,-46.65060743058519
120,107T-10-0,-23.55217403346017,-46.652767050310594
121,107T-10-0,-23.55270186610218,-46.65376130141859
122,107T-10-0,-23.554004674550292,-46.65591510565245
123,107T-10-0,-23.556380906628853,-46.65835226943259
124,107T-10-0,-23.559421469816932,-46.66153914941498
125,107T-10-0,-23.562311991588157,-46.66455312595544
126,107T-10-0,-23.563772327119217,-46.66607378609164
127,107T-10-0,-23.5652534018007,-46.667620055008754
128,107T-10-0,-23.56694226775844,-46.669380972970785
129,107T-10-0,-23.568991525719035,-46.6715171495
130,107T-10-0,-23.571776287816572,-46.67445925084013
131,107T-10-0,-23.574175904081404,-46.676973200474
132,107T-10-0,-23.576092546684254,-46.67898006854516
133,107T-10-0,-23.578849459102788,-46.681999681776325
134,107T-10-0,-23.580193731431397,-46.68496172279224
135,107T-10-0,-23.578385696017275,-46.68603591715696
136,107T-10-0,-23.575402490199753,-46.687864481396126
137,107T-10-0,-23.571474651730057,-46.69033401504336
138,107T-10-0,-23.567758763387022,-46.69278597870725
139,107T-10-0,-23.56523704858618,-46.69448019437796
140,107T-10-0,-23.564608828273805,-46.6940015181495
141,107T-10-0,-23.565237717012092,-46.696052306764706
142,107T-10-0,-23.565066768241472,-46.70075686192391
143,1177-10-0,-23.517114170538438,-46.47612273987181
144,1177-10-0,-23.51488386632969,-46.47658608088656
145,1177-10-0,-23.512998426335468,-46.47685215983531
146,1177-10-0,-23.511323083435006,-46.47711656198281
147,1177-10-0,-23.509064551015626,-46.477564418306315
148,1177-10-0,-23.5069820258306,-46.47798316392924
149,1177-10-0,-23.50733246178849,-46.48060587926553
