,Unnamed: 0,linhas,date,mean_geral,median_geral,std_geral,perc95_geral,cv_geral,trips_geral,ltt_mean,rbt_mean,ltt_median,rbt_median,ltt_cv,ltt_std,route_category,origin_sector,destination_sector,direction,planned_headway,passenger_two_dir,passenger_one_way,bus_stops_one_dir,planned_tt,length_round_trip,bus_lane,demand,frequency,capacity_per_trip,conforto_pass_m2,temp_max,temp_med,temp_min,umid_med,umid_min,chuva_mm,stops_km,dist_stops_to_stops,confort_index_geral,ipk,ewt_mean,ewt_median,customer_w_appointment,customer_appointment,slowness
0,0,172P_10_0,2017-03-02,537.2758620689656,470.515,316.2250610896392,1052.25,0.5885711296835592,116,4899.846606341261,699.6437619627948,4991.396016646232,728.8619505572124,0.2054067746153132,1010.9448352636392,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,28.8,25.1,22.8,62.8,48,0.0,3.7142857142857135,0.2692307692307692,1.7211598746081505,4.5077996715927755,361.6984017543735,316.754456167275,6081.956368957819,6772.5079672034435,31.848148148148148
1,1,172P_10_0,2017-03-03,655.5371276595745,577.0,404.4806402697096,1335.3999999999996,0.6170217112092536,94,5308.6099762045815,804.6898098251756,5337.126422279544,1327.7590885714862,0.1812078428436368,967.3509459788913,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,28.5,22.7,20.3,77.7,54,7.2,3.7142857142857135,0.2692307692307692,2.123984526112185,5.5628166160081065,452.55523223490263,398.33650602188726,7117.440743085931,8000.285510851029,40.785185185185185
2,2,172P_10_0,2017-03-06,548.2909090909092,504.50000000000006,341.51601718665785,970.5499999999997,0.6228737546513522,110,4936.653151667403,827.8334537566698,5183.29180132438,1044.1242822241302,0.2645753435631916,1312.0943857028994,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,27.9,22.3,20.1,84.2,55,30.0,3.7142857142857135,0.2692307692307692,1.8150413223140496,4.7536796536796535,380.5061364947693,350.1158649153936,6607.92222004328,7197.966083548509,53.15925925925927
3,3,172P_10_0,2017-03-07,583.7383177570093,493.00000000000006,510.2320941276792,1085.9999999999998,0.8740767542693191,107,5302.92840607859,938.6508522260066,5550.6248223999455,1435.2236403679926,0.2620843771730383,1396.5450653382004,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,29.7,22.9,20.0,77.3,42,35.2,3.7142857142857135,0.2692307692307692,1.865930331350892,4.886960391633289,514.8601652580845,434.828507485258,7500.708628026022,8071.848462767937,51.829629629629615
4,4,172P_10_0,2017-03-08,585.4563106796118,515.0,318.26112043609083,1158.5999999999995,0.5436120759662589,103,4932.876080351074,773.6386305305427,5215.555195959618,838.1354725676565,0.26280049539790645,1302.7641056118812,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,28.5,22.9,16.5,79.7,51,41.6,3.7142857142857135,0.2692307692307692,1.9383936451897616,5.076745261211282,379.2334495296113,333.594877952609,6432.924118056886,7212.290668527274,52.96296296296297
5,5,172P_10_0,2017-03-09,599.4411764705882,512.992,321.49163259445163,1080.5,0.5363189003587338,102,5172.371470033025,749.9528430909793,5261.939569490356,810.1356578488449,0.16321468423374969,848.5474005959247,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,31.1,24.6,20.6,69.5,40,0.0,3.7142857142857135,0.2692307692307692,1.957397504456328,5.1265172735760975,385.93160766908926,330.2739869273818,6458.00683500829,7152.575227339201,57.551851851851836
6,6,172P_10_0,2017-03-10,593.447619047619,501.00000000000006,448.08591730721224,1067.5784,0.7550555481649969,105,5445.429675151942,1109.8268519292624,5362.820297901257,3076.0613686181023,0.2879051630128825,1575.6654404188337,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,31.1,25.3,21.6,67.9,43,0.0,3.7142857142857135,0.2692307692307692,1.901471861471861,4.9800453514739225,465.8886884825157,393.3122746440934,8904.770355001874,9506.46006651936,75.77407407407408
7,7,172P_10_0,2017-03-13,574.7129629629628,516.0,290.69971846396186,1072.977449999999,0.5058172291177221,108,4984.243434129435,755.1228406998948,5110.816852012434,1553.2004164346865,0.2597959500028316,1300.979874062966,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,27.5,23.1,21.3,72.7,50,0.0,3.7142857142857135,0.2692307692307692,1.8486531986531989,4.841710758377425,360.87694453085294,324.0095758722611,7024.8942129779725,7736.9947184471175,44.41481481481481
8,8,172P_10_0,2017-03-14,599.7307692307693,505.924,436.88550682206136,1240.8,0.7284693886598855,104,5308.410317368878,983.7256397671891,5436.129126058428,1288.0546548104194,0.22880495120146024,1220.47239252036,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,25.9,21.6,19.5,76.7,62,1.2,3.7142857142857135,0.2692307692307692,1.9197552447552448,5.027930402930403,458.9942436499003,387.20075013356217,7183.178024518747,7964.983780868846,58.61111111111112
9,9,172P_10_0,2017-03-15,547.8648648648648,508.00000000000006,317.1249485519287,1022.8465,0.5788379012590086,111,5268.245173898119,1332.1206748092175,5259.8123842106315,1648.1528007100117,0.20608979096624375,1090.7005957052863,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,28.3,23.0,19.9,73.4,48,2.4,3.7142857142857135,0.2692307692307692,1.7986895986895988,4.710853710853711,365.7144022607672,339.1035422472192,7273.679587181408,7930.811684920642,106.48148148148147
