route,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
2290-10-0,50,45,41,65,68,56,70,93,85,106,92,77
342M-10-0,35,32,38,48,43,34,52,64,52,63,66,48
2100-10-0,27,23,32,35,45,44,65,57,56,54,51,31
6913-10-0,31,22,32,23,27,42,29,38,34,34,29,40
4113-10-0,23,30,18,30,26,30,30,46,47,27,34,32
2552-10-0,19,24,18,30,29,30,45,20,37,38,31,44
675K-10-0,21,24,25,32,31,33,18,42,28,27,26,34
637A-10-0,26,16,21,30,20,26,22,33,17,23,20,16
5391-10-0,22,16,19,22,20,28,22,26,16,29,17,18
6450-10-0,31,15,13,14,21,18,13,26,19,25,14,15
695X-10-0,23,14,19,14,22,25,17,17,5,23,31,12
695Y-10-0,19,24,16,19,20,23,11,13,14,23,22,14
3160-10-0,6,12,20,17,20,22,9,17,14,21,25,27
5362-10-0,20,20,14,20,11,25,13,15,15,22,19,11
6455-10-0,26,13,21,13,14,8,18,25,22,17,8,10
707A-10-0,13,15,18,16,22,14,16,27,9,16,15,10
5370-10-0,20,8,15,14,10,24,16,15,8,20,19,21
4313-10-0,5,9,13,11,15,18,15,27,21,23,13,14
6091-10-0,16,9,10,11,10,23,22,20,14,18,20,6
2582-10-0,13,17,7,8,10,15,18,7,31,21,17,12
6451-10-0,21,25,20,10,16,11,13,10,11,19,10,10
4210-10-0,11,8,11,9,11,17,13,21,25,15,15,16
573A-10-0,10,8,11,11,15,6,17,13,22,13,13,14
4310-10-0,8,13,17,13,20,15,13,17,14,8,2,11
3686-10-0,10,16,11,8,12,14,14,22,12,7,10,14
4311-10-0,8,5,7,7,7,14,21,9,17,18,18,18
2678-10-0,12,16,11,9,8,8,14,9,16,16,15,12
3459-10-0,9,20,11,11,3,10,10,10,9,10,16,27
6000-10-0,15,11,15,15,14,15,11,19,5,9,12,4
408A-10-0,14,5,12,14,12,12,10,17,10,18,10,9
2002-10-0,6,11,3,6,11,10,13,19,17,22,11,12
637G-10-0,8,7,18,20,10,15,8,7,15,15,14,4
6960-10-0,7,9,13,6,8,14,13,10,11,17,21,10
208V-10-0,5,9,7,5,10,17,14,12,20,9,14,16
875C-10-0,17,9,19,6,18,21,7,6,9,7,10,5
609F-10-0,13,16,18,10,10,17,8,24,7,5,3,2
2626-10-0,14,16,13,6,7,12,11,6,12,7,13,15
2666-10-0,11,10,12,8,10,5,18,8,13,12,12,12
5142-10-0,23,16,14,10,18,4,4,8,13,7,10,4
3390-10-0,16,6,15,10,10,14,11,10,9,9,5,11
677A-10-0,9,9,13,9,12,11,12,10,7,11,8,13
8700-10-0,15,8,13,3,12,10,11,12,11,8,12,8
352A-10-0,6,16,6,7,9,7,12,11,16,12,7,13
5630-10-0,9,7,10,7,11,14,6,12,10,12,11,12
737A-10-0,7,18,7,7,5,12,11,18,12,8,9,7
574J-10-0,25,21,7,8,7,8,10,8,6,12,3,5
675G-10-0,12,10,5,3,11,17,10,9,7,10,11,15
6007-10-0,8,3,2,5,9,8,21,21,9,10,11,11
3301-10-0,7,8,8,6,11,6,16,8,10,10,11,13
6840-10-0,5,5,6,9,11,10,8,12,8,9,10,17
5110-10-0,16,17,7,6,14,7,3,6,11,12,1,8
4312-10-0,8,5,5,10,11,10,6,13,12,7,10,9
857R-10-0,11,12,15,8,4,9,6,7,11,9,7,7
4112-10-0,5,7,7,6,9,7,7,12,19,17,4,5
477P-10-0,15,14,10,10,8,9,9,11,5,7,3,
2765-10-0,7,10,11,13,6,2,17,4,10,6,2,11
475R-10-0,22,11,14,4,12,6,2,3,2,8,5,7
5318-10-0,8,8,7,16,10,6,4,8,3,13,8,5
2363-10-0,6,12,11,8,7,6,5,6,11,6,7,10
1178-10-0,6,7,5,12,9,2,8,6,3,7,12,16
5119-10-0,8,3,12,12,7,7,6,16,6,6,4,3
675X-10-0,7,11,4,8,11,8,11,1,8,7,5,7
637R-10-0,7,10,8,3,9,9,3,10,10,14,2,2
7545-10-0,12,4,9,5,10,7,5,11,7,8,5,4
5362-23-0,7,4,5,5,9,13,11,8,8,4,8,4
4314-10-0,4,6,4,5,8,8,9,9,6,9,3,14
3141-10-0,13,10,9,7,11,5,4,6,2,3,9,5
5652-10-0,13,10,7,2,11,7,5,9,2,7,7,4
6366-10-0,7,13,13,4,6,14,3,10,6,5,2,1
6970-10-0,3,3,2,7,9,10,12,7,4,9,12,5
N301-11-0,6,5,3,3,7,7,7,11,9,9,5,11
756A-10-0,8,8,8,2,12,13,5,7,3,7,5,4
N308-11-0,7,4,4,5,8,5,8,7,13,7,7,7
675I-10-0,15,6,10,6,8,4,6,5,10,5,4,2
7004-10-0,8,14,1,3,4,8,7,6,7,12,7,4
807M-10-0,14,8,5,5,6,11,7,7,4,3,4,7
354M-10-0,7,7,7,7,14,3,4,5,5,8,5,8
476G-10-0,4,8,11,2,12,6,2,6,8,11,5,5
8594-10-0,6,6,1,4,13,13,7,4,4,12,5,5
233C-10-0,3,9,6,9,8,4,9,4,7,3,12,5
2551-10-0,3,6,6,6,10,10,5,5,6,4,5,13
407N-10-0,9,4,5,2,7,4,9,7,6,13,7,5
4709-10-0,15,12,7,11,6,5,3,8,3,6,1,1
516N-10-0,8,6,9,7,5,10,7,7,4,5,7,3
311C-10-0,13,7,9,10,5,6,2,4,6,8,2,3
3414-10-0,1,7,6,4,8,10,1,7,10,7,8,6
6500-10-0,8,6,8,2,8,5,3,6,6,13,4,6
509J-10-0,8,10,5,8,9,5,4,6,4,7,5,3
7016-10-0,10,9,6,9,8,4,6,4,4,5,5,4
5108-10-0,15,4,11,4,8,4,4,3,9,4,4,3
6505-10-0,5,12,5,4,5,5,4,4,12,7,3,6
702C-10-0,2,9,9,8,6,2,4,12,6,7,5,2
8705-10-0,8,8,7,2,14,5,5,3,4,5,8,2
8707-10-0,7,7,5,6,7,5,6,8,10,2,6,1
1177-10-0,3,6,10,4,5,9,7,2,4,7,4,8
675R-10-0,6,5,5,7,7,8,3,9,2,7,6,4
N503-11-0,7,7,5,2,6,3,6,10,8,4,9,2
N302-11-0,4,10,4,3,6,7,5,6,5,8,6,4
477A-10-0,10,5,5,7,6,6,2,4,2,3,9,8
8610-10-0,13,10,4,4,4,6,6,4,5,5,3,3
5317-10-0,6,9,5,7,5,8,3,4,5,6,5,3
175T-10-0,8,5,6,7,10,7,,5,3,5,5,4
478P-10-0,11,5,9,5,8,4,5,4,1,6,3,4
7001-10-0,6,5,2,7,6,8,4,4,4,3,11,5
314J-10-0,7,15,6,7,6,4,3,4,3,5,2,2
5185-10-0,7,6,6,4,6,7,5,4,5,7,2,4
5144-10-0,9,7,5,8,7,5,,3,4,4,5,5
8622-10-0,6,2,5,8,8,12,3,5,7,2,4,
775F-10-0,3,7,4,2,8,6,6,6,4,4,1,10
2076-10-0,10,11,5,3,4,3,4,4,3,2,8,3
509M-10-0,11,11,7,11,6,2,2,,2,2,2,4
6013-10-0,1,4,6,3,4,4,10,10,6,4,4,4
695T-10-0,7,3,10,7,2,4,2,4,7,2,5,7
407F-10-0,3,5,3,5,,5,6,1,4,9,9,9
476A-10-0,9,6,6,7,5,5,,6,3,7,5,
5111-10-0,7,6,3,3,7,4,2,8,6,7,4,2
5300-10-0,6,5,5,3,7,7,5,8,5,3,2,3
971R-10-0,7,6,9,7,5,3,3,1,10,4,2,2
6400-10-0,4,4,5,6,8,10,1,5,6,2,4,3
715M-10-0,6,4,8,5,9,5,2,5,1,4,4,5
502J-10-0,13,4,4,5,2,10,4,1,4,2,5,3
5632-10-0,4,5,4,3,4,7,5,9,3,6,5,2
2080-10-0,,2,3,4,5,2,11,5,6,9,6,3
3746-10-0,6,4,7,5,3,4,7,3,3,7,4,3
5131-10-0,1,4,6,3,4,7,4,4,7,2,5,9
6837-10-0,5,4,3,4,7,5,5,4,4,4,6,5
253F-10-0,6,6,7,2,6,5,5,3,4,2,5,4
2590-10-0,9,3,5,1,5,4,3,1,9,6,3,6
407P-10-0,5,4,4,2,4,6,6,5,1,6,6,6
857P-10-0,10,1,6,5,3,5,2,5,5,7,5,1
N501-11-0,2,4,5,1,5,3,5,9,6,5,5,5
2755-10-0,3,4,6,3,7,5,5,2,5,4,3,7
675Z-10-0,12,4,9,9,8,10,2,,,,,
7022-10-0,9,7,2,4,2,4,4,5,6,4,6,1
971X-10-0,4,4,7,,8,10,5,3,6,2,3,2
6200-10-0,5,5,6,3,3,5,4,10,3,3,5,1
3139-10-0,1,2,3,,6,3,5,4,6,10,7,5
6338-10-0,7,6,9,7,6,8,5,3,,1,,
695H-10-0,2,4,2,1,6,8,6,4,5,5,4,5
8615-10-0,5,4,2,3,4,9,4,3,8,3,4,3
1722-10-0,4,2,3,,7,7,6,5,6,6,5,
5154-10-0,7,5,3,3,1,3,4,7,4,5,6,3
6262-10-0,4,3,8,5,4,9,1,3,4,4,3,3
6913-21-0,7,5,5,1,5,4,4,6,6,2,3,3
856R-10-0,10,3,5,5,3,6,4,5,2,1,6,1
148L-10-0,6,6,4,5,2,5,1,4,3,8,5,1
273X-10-0,,4,7,3,7,3,4,2,5,3,4,8
6412-10-0,2,3,2,2,1,4,4,5,7,4,10,6
390E-10-0,3,2,7,6,3,2,2,4,6,3,6,5
648P-10-0,7,4,1,5,2,7,2,4,8,5,3,1
9354-10-0,3,5,4,4,5,4,2,4,5,3,7,2
N601-11-0,3,3,1,4,4,7,6,6,3,5,4,2
178L-10-0,3,3,3,4,7,3,2,6,8,4,2,2
2014-10-0,6,6,3,4,8,3,5,1,3,3,5,
4742-10-0,9,3,7,7,4,5,4,2,2,2,2,
5141-10-0,8,5,5,4,5,4,4,3,2,3,1,3
6048-10-0,2,7,4,6,4,2,4,4,1,5,2,6
4315-10-0,1,3,1,3,4,3,6,2,11,3,3,6
675L-10-0,6,5,3,4,4,3,3,5,5,3,2,3
809P-10-0,5,4,5,3,3,4,3,6,3,5,1,4
175P-10-0,6,2,4,6,8,5,4,3,2,3,1,1
273G-10-0,5,1,2,2,4,5,3,4,7,3,3,6
576C-10-0,8,2,6,3,3,6,5,1,,2,5,4
7023-10-0,2,3,2,3,6,6,3,7,2,8,2,1
2059-10-0,2,4,7,5,4,1,3,5,1,2,6,4
5106-31-0,3,1,3,3,7,5,8,4,1,3,2,4
5129-41-0,5,3,4,5,5,2,2,2,1,3,8,4
5164-10-0,8,3,7,2,6,1,1,6,2,3,1,4
