route,headway
5030-10-0,1076.8421050000002
6803-10-0,852.6315789999999
6L10-10-0,2557.894737
1732-10-0,1016.8421050000001
7016-10-0,581.052632
6042-10-0,493.333333
178Y-10-0,363.333333
2435-10-0,1136.8421050000002
4001-10-0,840.0
637G-10-0,934.736842
6058-10-0,656.842105
2010-10-0,729.4736839999999
574A-10-0,953.6842109999999
178L-10-0,704.210526
807M-10-0,590.5263160000001
6063-10-0,334.73684199999997
6030-10-0,549.4736839999999
6028-10-0,581.052632
3099-10-0,453.333333
9717-10-0,1007.3684210000001
2182-10-0,634.736842
1745-10-0,1057.8947369999999
5632-10-0,1190.526316
2025-10-0,612.631579
2019-10-0,674.1176469999999
6046-10-0,660.0
9051-10-0,786.666667
6027-10-0,685.263158
4311-10-0,473.68421100000006
1177-10-0,900.0
177H-10-0,1152.6315789999999
2020-10-0,1547.3684210000001
374M-10-0,767.368421
3761-10-0,457.894737
9789-10-0,457.894737
5106-10-0,1042.1052630000001
7055-10-0,606.315789
314V-10-0,1054.736842
502J-10-0,1023.1578949999999
8002-10-0,1831.578947
5013-10-0,451.57894699999997
273J-10-0,723.157895
2766-10-0,521.052632
9005-10-0,382.105263
3745-10-0,546.315789
701U-10-0,966.3157890000001
809T-10-0,1894.7368420000003
6075-10-0,609.4736839999999
6L08-10-0,1515.789474
6093-10-0,606.315789
2582-10-0,941.052632
4221-10-0,1563.1578949999998
352A-10-0,817.894737
5036-10-0,1174.736842
4018-10-0,407.368421
4024-10-0,618.947368
719R-10-0,1386.315789
2590-10-0,792.631579
8043-10-0,2200.0
6823-10-0,1247.3684210000001
3791-10-0,457.894737
875H-10-0,606.666667
1767-10-0,798.947368
7062-10-0,508.42105300000003
2127-10-0,748.421053
6071-10-0,827.368421
2059-10-0,363.157895
373T-10-0,637.894737
3006-10-0,600.0
1709-10-0,517.894737
809P-10-0,457.894737
3141-10-0,764.210526
509M-10-0,1329.473684
4011-10-0,767.368421
4708-10-0,1184.210526
546J-10-0,631.578947
354M-10-0,802.105263
172U-10-0,836.842105
775P-10-0,1721.0526320000001
875P-10-0,983.333333
695H-10-0,963.1578949999999
476A-10-0,997.894737
857C-10-0,947.3684210000001
857A-10-0,991.5789470000001
9004-10-0,378.94736800000004
364A-10-0,748.421053
8622-10-0,678.947368
709P-10-0,855.789474
2031-10-0,770.5263160000001
2021-10-0,423.157895
3686-10-0,783.157895
407G-10-0,426.31578899999994
407J-10-0,701.052632
6960-10-0,467.368421
172X-10-0,360.0
3721-10-0,360.0
4314-10-0,862.105263
574R-10-0,514.736842
6001-10-0,963.1578949999999
6043-10-0,637.894737
675G-10-0,909.4736839999999
177Y-10-0,442.105263
2765-10-0,337.894737
9012-10-0,1721.0526320000001
736G-10-0,827.368421
6003-10-0,540.0
2016-10-0,622.105263
1018-10-0,625.263158
6022-10-0,1089.473684
607G-10-0,1240.0
574C-10-0,1168.421053
1787-10-0,704.210526
9785-10-0,527.368421
9020-10-0,609.4736839999999
875A-10-0,1133.684211
407W-10-0,1127.3684210000001
5142-10-0,742.105263
8300-10-0,893.6842109999999
7600-10-0,1433.684211
2715-10-0,508.42105300000003
3778-10-0,454.73684199999997
807J-10-0,1115.294118
577T-10-0,824.210526
3738-10-0,382.105263
2731-10-0,378.94736800000004
208V-10-0,685.263158
273V-10-0,1831.578947
5029-10-0,590.5263160000001
5018-10-0,808.421053
3027-10-0,858.947368
2007-10-0,372.631579
6837-10-0,694.736842
2708-10-0,581.052632
175P-10-0,710.5263160000001
2008-10-0,318.94736800000004
6836-10-0,941.052632
9023-10-0,457.894737
8594-10-0,685.263158
2718-10-0,366.315789
938L-10-0,625.263158
5391-10-0,587.368421
5015-10-0,694.736842
5290-10-0,918.947368
6036-10-0,590.5263160000001
2719-10-0,262.105263
6074-10-0,615.789474
1026-10-0,1051.578947
5143-10-0,1253.684211
7545-10-0,678.947368
6048-10-0,596.842105
6052-10-0,492.631579
2726-10-0,571.578947
3729-10-0,388.421053
2711-10-0,691.578947
7013-10-0,1061.0526320000001
5123-10-0,593.684211
1756-10-0,1054.736842
2363-10-0,890.5263160000001
6034-10-0,524.210526
1780-10-0,776.842105
8006-10-0,827.368421
3160-10-0,511.57894699999997
5021-10-0,824.210526
6835-10-0,1117.8947369999999
1720-10-0,423.157895
3795-10-0,821.052632
8605-10-0,666.315789
6037-10-0,764.210526
9191-10-0,363.157895
407L-10-0,666.315789
2451-10-0,1531.578947
2026-10-0,2052.631579
1772-10-0,615.789474
