,linhas,date,mean_geral,mean_25_perc,mean_50_perc,mean_75_perc,median_geral,median_25_perc,median_50_perc,median_75_perc,std_geral,std_25_perc,std_50_perc,std_75_perc,perc95_geral,perc95_25_perc,perc95_50_perc,perc95_75_perc,cv_geral,cv_25_perc,cv_50_perc,cv_75_perc,trips_geral,trips_25_perc,trips_50_perc,trips_75_perc,ltt_mean,rbt_mean,ltt_mean_25_perc,rbt_mean_25_perc,ltt_mean_50_perc,rbt_mean_50_perc,ltt_mean_75_perc,rbt_mean_75_perc,ltt_median,rbt_median,ltt_median_25_perc,rbt_median_25_perc,ltt_median_50_perc,rbt_median_50_perc,ltt_median_75_perc,rbt_median_75_perc,ltt_cv,ltt_cv_25_perc,ltt_cv_50_perc,ltt_cv_75_perc,ltt_std,ltt_std_25_perc,ltt_std_50_perc,ltt_std_75_perc
0,314V-10-0,2017-03-02,4966.363636363636,5256.5722000000005,5277.385090909092,5300.5782727272735,3050.0510000000004,4320.12,5407.793000000001,5646.09,4318.966495014456,4388.030679669811,4108.733484569143,4089.721552190763,11928.912,11899.4542,11833.1,11765.1525,0.8696436288698338,0.8347703622657007,0.7785547982175706,0.7715613923170129,11,10,11,11,3151.082688621001,534.5930518333962,2599.126592411159,465.78671497582627,1917.8836584583253,392.44396177791873,928.8789174622324,350.332673535681,3365.902597660674,319.7731427937233,2758.359778181555,306.5535292054301,1966.9622783616974,343.36534187454663,892.379145087415,386.83244591049834,0.1442730224318383,0.15202312601492593,0.15925092555419554,0.24079898638607555,474.8311591943073,412.69705681596935,319.00574491826944,233.61893557041913
1,314V-10-0,2017-03-03,3302.8215000000005,3318.485,3363.7557500000007,3453.1595,1371.7200000000003,1500.343,1589.6095,1643.607,4538.8036688573575,4488.017199361725,4515.546338126199,4619.201851013189,8822.4702,8775.102699999998,8849.22785,9065.927899999997,1.3742200929893902,1.352429557271383,1.3424120755872948,1.337674049233228,4,4,4,4,3845.136718918101,529.1056358430105,3134.3907306114097,534.5255044149467,2281.7459414768314,415.5495471530726,1043.152858761307,251.264818883119,3800.851636491698,573.3907182694134,3019.3865834303956,649.5296515959608,2197.6645975946835,499.63089103522043,1011.3104690770917,283.1072085673343,0.10836898161137583,0.1253536262869663,0.1359555753250732,0.186271404292815,481.15626696948533,453.69020650598844,358.2066771523356,224.3693395648917
2,314V-10-0,2017-03-06,3741.266666666668,3733.2882000000004,3735.2878,3939.298142857143,2364.355,2554.521,2568.06,2780.6545,2983.2166177309273,3010.7791164741298,3029.7356204382445,3103.7414756613907,9011.555100000001,9046.2219,8993.680500000002,8954.9407,0.7973814441804717,0.8064684415401225,0.8111116954463976,0.787891995757973,15,15,15,14,3383.374757238647,1046.770310425743,2779.7469001369736,781.3132291930492,1999.4656580109006,531.7306615616606,1030.4110796091916,342.0698379897269,3290.9583872453104,1139.1866804190795,2681.1909362626766,879.8691930673463,1993.2775924060622,537.9187271664989,1040.772271693308,331.7086459056104,0.18323312058511548,0.18820793815453,0.1842908710375482,0.2675446588153706,641.7054008075135,541.5328458738011,381.4164183759014,285.3569252549902
3,314V-10-0,2017-03-07,6543.685,6558.791125,6596.411125000001,6280.815555555556,4795.24,4868.6375,4946.917,3705.0170000000003,6581.725572730278,6510.623066917206,6468.992515937336,5962.104903476206,16310.998049999997,16327.146749999996,16212.241599999996,15637.093799999999,1.0058133257836033,0.9926559548604632,0.9806836465089697,0.9492564859992678,8,8,8,9,3326.085824884095,545.7754365991832,2721.513892260807,379.83759501658415,1961.4663560331528,393.1333586019773,922.9543279749773,286.9391976837351,3305.9708466044594,565.8904148788188,2794.3153016958854,307.03618558150583,2106.319403096568,248.28031153856227,1025.8692873484206,184.02423831029182,0.13009413742545553,0.1158700569326146,0.1741546371810001,0.2820683586395158,458.95218152049074,334.47066768686,362.31988293671753,276.1282517552938
4,314V-10-0,2017-03-08,7306.226857142857,7291.850142857143,7308.443714285714,7325.871000000001,3895.7650000000003,3614.1910000000003,3564.483,3622.4640000000004,6511.3139308651935,6419.255048445612,6353.623880439695,6303.305494644351,16675.9507,16551.423199999997,16412.3092,16373.1868,0.8912006235474984,0.8803328267427032,0.8693538773542655,0.8604172110926264,7,7,7,7,3603.6371913708485,464.90626126836196,2916.4609430031846,335.01302518008697,2093.634646917844,223.62835596810237,987.2359502448568,115.59421407558614,3531.4251072949824,537.1183453442281,2905.5386748045976,345.93529337867403,2017.1353638888927,300.1276389970535,987.4251312508768,115.40503306956612,0.10322399952741793,0.10167101024197873,0.07646481293729047,0.10094059298730299,401.78631229807587,320.2776980962656,172.91629515813352,107.63665885044101
5,314V-10-0,2017-03-09,4856.6007272727265,4845.835181818183,4835.052454545455,5230.2349,2914.0730000000003,2967.096,3551.0510000000004,3805.9539999999997,3443.1353220107717,3466.310933995588,3498.624573640172,3436.7353933333447,10343.549500000001,10524.476,10688.751,10898.092249999998,0.7089599321343222,0.7153175467051296,0.7235959912598465,0.6570900655596452,11,11,11,10,3117.675657200036,769.4713501031974,2574.679659295128,660.8108094303097,1888.331310469241,486.248329139878,901.421856655114,325.729391621526,3528.114556175027,359.0324511282065,2889.423133440622,346.0673352848157,2138.0011636873255,236.5784759217936,1018.1974111821391,208.95383709450084,0.3442709019947247,0.3522345692249412,0.3469016996878565,0.3644300686893767,1125.7127681123798,951.1554946288944,687.0383259545445,344.5391909910715
6,314V-10-0,2017-03-10,6233.506200000001,6369.022499999999,6322.613,6229.669000000001,5962.415,6936.5695000000005,6784.5955,6990.025000000001,2292.188202846071,2743.9131947234896,2598.235651811565,2825.634043966888,8749.9962,8782.52925,8685.32275,8536.562150000002,0.36772052987547693,0.43082171474876874,0.4109433317856976,0.4535769145948023,5,4,4,4,3182.7376665106103,738.3629926226449,2609.8896851256745,691.6273398904773,1947.4641606716286,646.6539993685874,902.2790892434723,215.08375983993847,3049.452053904664,871.6486052285914,2383.387378655749,918.1296463604026,1791.0765902421363,803.0415697980798,945.746952008828,171.6158970745828,0.17343304697528203,0.18939917190837524,0.24891368107768547,0.2058690839006835,617.1456959049293,552.6564376720289,541.9675048761859,207.67634458612315
7,314V-10-0,2017-03-13,3952.214285714286,3953.2724285714285,4127.063307692308,4136.741153846154,2650.576,2631.8755,2913.6820000000002,3145.895,2967.2467405753932,2912.618435118495,2878.3563976240966,2897.5918160053434,8424.117699999999,8369.07145,8298.837799999998,8264.498799999998,0.7507808347590953,0.7367613762381187,0.6974345153027374,0.7004527738728091,14,14,13,13,3461.0969344650744,457.8781429733408,2723.4752652218476,478.0504267433539,2056.6935079325913,394.58361025950035,1019.9124710967561,335.6002720650505,3672.5417085109752,246.43336892743991,2797.940461042316,403.58523092288533,2104.92847602206,346.3486421700318,1022.517010837905,332.9957323239016,0.12587932869503426,0.13542099661142742,0.1459318184963723,0.24554026504840795,452.1270829438158,382.73817580984604,311.4669092136229,259.88305548728545
8,314V-10-0,2017-03-14,5507.138888888889,5518.039444444445,5182.6401,5208.374000000001,2152.34,2248.551,2254.6605,2396.371,6583.792231791008,6600.845531833406,6328.076762169766,6252.776448786128,16648.743999999995,16607.956,15946.908149999988,15756.47304999999,1.1955013963919372,1.1962302187743745,1.2210141240889496,1.2005237044778518,9,9,10,10,3451.27286064887,542.6982258820963,2789.6283509355558,397.578258947678,2045.353928205507,393.7259107501816,973.577020773989,241.83742693963563,3524.8105794263824,469.16050710458376,2827.489846687644,359.7167631955899,2037.6449486459983,401.4348903096902,968.5473890508656,246.86705866275906,0.11063785568129077,0.10939560591959618,0.12005394456735445,0.17055299579798408,402.4962065400392,321.6806750663695,258.8353854463345,175.02835548416988
9,314V-10-0,2017-03-15,4602.542333333335,4994.346750000001,4888.693375000001,5186.015142857143,3631.0,4485.5160000000005,4415.298500000001,4955.147,3545.1179468911187,3437.7500330695016,3197.6701052829044,2781.960593435586,9139.360200000001,9109.12385,8818.2965,8596.6415,0.7702521107119531,0.6883282649666849,0.6540950433985654,0.5364351080361316,9,8,8,7,3150.066532190204,539.0768942962573,2627.7204411578623,461.4149497109074,1917.1483249661842,396.78249954224566,928.7656770133568,260.0859389527717,3326.8761199963883,362.26730649007277,2714.529245719957,374.60614514881263,2026.2839014086344,287.64692309979546,963.9772415285634,224.87437443756517,0.16775396058034936,0.1676251517146271,0.16843034806111554,0.21531762729417292,560.491163703501,467.19114707850866,342.49349064047226,212.11042010289808
