,linhas,date,mean_geral,mean_25_perc,mean_50_perc,mean_75_perc,median_geral,median_25_perc,median_50_perc,median_75_perc,std_geral,std_25_perc,std_50_perc,std_75_perc,perc95_geral,perc95_25_perc,perc95_50_perc,perc95_75_perc,cv_geral,cv_25_perc,cv_50_perc,cv_75_perc,trips_geral,trips_25_perc,trips_50_perc,trips_75_perc,ltt_mean,rbt_mean,ltt_mean_25_perc,rbt_mean_25_perc,ltt_mean_50_perc,rbt_mean_50_perc,ltt_mean_75_perc,rbt_mean_75_perc,ltt_median,rbt_median,ltt_median_25_perc,rbt_median_25_perc,ltt_median_50_perc,rbt_median_50_perc,ltt_median_75_perc,rbt_median_75_perc,ltt_cv,ltt_cv_25_perc,ltt_cv_50_perc,ltt_cv_75_perc,ltt_std,ltt_std_25_perc,ltt_std_50_perc,ltt_std_75_perc
0,675R-10-0,2017-03-02,1658.7686969696974,1520.629303030303,1498.1265882352943,1579.4198571428572,1349.006,1164.894,1266.2145,1372.241,1143.0932789790572,1001.4694333070495,839.5241768379644,986.9260040291817,3712.5435999999972,3200.8417999999992,3165.6977500000003,3250.301499999999,0.6891215641260316,0.6585888035376708,0.5603826695492234,0.6248661491533439,33,33,34,35,4039.0277035884533,990.2897092640865,3001.242603005381,979.954847371434,1883.361837905156,528.6646383690825,845.1987436583963,264.03209439344755,4298.416987213121,730.9004256394192,3138.77468850988,842.4227618669352,2032.3430156125285,379.6834606617101,883.308500639401,225.92233741244286,0.2792277549246053,0.2989478503912678,0.28953291065858167,0.3019616930905991,1143.8067224580877,909.9421146086098,553.0303052805812,258.83793287799807
1,675R-10-0,2017-03-03,1509.1886285714284,1492.6340833333334,1425.0777500000002,1415.1593783783785,1351.227,1325.7695,1238.049,1410.539,764.9317539975125,948.8345176971101,896.2658274036903,885.6644685722113,3133.7108999999996,3334.8227500000003,2905.6362500000005,2902.6248,0.5068496671099249,0.6356779121498979,0.6289241603861194,0.6258407936970944,35,36,36,37,4324.199617958962,1497.7914704377272,3184.7003878564524,1104.013952672592,2014.8818274785178,815.1777097071993,916.8854453263721,422.96848876071476,4471.410055712849,1350.581032683841,3262.564595027372,1026.1497455016724,2088.850818285762,741.2087188999549,939.9788531952995,399.8750808917873,0.32054994426547456,0.3243059754295194,0.3265195266228937,0.3688790253373116,1404.2419567283862,1046.318819374706,666.4986027953186,342.64117105316876
2,675R-10-0,2017-03-06,2257.8123333333338,1908.3866521739133,1864.8736250000002,1826.5581923076925,1367.3955,1306.5620000000001,1335.593,1269.0735,2405.2352400431905,1679.1459260918823,1692.3823472544314,1741.4262422447875,7322.705399999993,3679.1779,3690.5811000000003,3889.3805000000007,1.065294579418037,0.8798772115593586,0.9075051116423136,0.9533921500987886,24,23,24,26,4540.65487963966,1538.7171802679986,3384.4174047856663,1205.4658598511337,2151.9723748779165,752.360884041525,948.5065184884991,283.0097297273778,4483.081789749842,1596.2902701578168,3322.9613690520246,1266.9218955847755,2119.3694232662756,784.9638356531659,948.0037614044215,283.51248681145535,0.16867701431201218,0.18679234807851475,0.18967446481870887,0.18242273965811198,779.9585667849869,643.7839346250882,415.66426827199956,176.20426945148645
3,675R-10-0,2017-03-07,1704.5121724137932,1725.1699333333336,1696.20035483871,1665.7605,1353.969,1392.665,1395.777,1471.428,1016.4440541050826,1106.733438840999,1081.106299411165,1082.7832928426153,3781.0937999999974,3779.769849999995,3878.7790000000005,3910.5836499999996,0.5963254886385917,0.6415214046204678,0.6373694571676743,0.650023393424574,29,30,31,32,4364.028674839891,1517.2701364842032,3171.1259432383954,1259.3680144858686,2080.292508381645,884.765286081054,898.0317948605789,381.73972199420405,4521.993226766941,1359.3055845571535,3252.0570398641366,1178.4369178601273,2109.3868203730726,855.6709740896263,958.599476362765,321.1720404920179,0.29726705606739867,0.30865532473915785,0.31953548164839357,0.328368980344314,1317.3960547983586,993.9607726046584,675.0337323752161,299.45793008211893
4,675R-10-0,2017-03-08,1607.8831764705883,1624.2737272727275,1592.5827941176472,1634.4603823529412,1380.9765000000002,1507.726,1255.2600000000002,1323.775,862.3689651081638,1126.180659727944,1178.1365339691986,1269.933876059385,3367.015099999999,3702.6508000000003,3722.19605,4094.101399999998,0.536338073392323,0.6933441333308287,0.7397647006615641,0.776974400707841,34,33,34,34,4108.324718325655,989.3265783912348,3008.58793465097,746.7271278176449,1957.3366939450252,524.4910599252794,879.6411467214923,327.31715536844445,4358.454097864675,739.1971988522155,3152.1555142470806,603.1595482215344,2076.666085036869,405.16166883343567,901.7638138215839,305.19448826835287,0.2846775108290033,0.2875880737549825,0.29177561861576706,0.29894518222704103,1186.137811560193,877.5074446972022,579.2042828901117,266.694661879578
5,675R-10-0,2017-03-09,1430.9383684210527,1363.151263157895,1350.4926666666668,1339.0273750000001,1313.7745,1245.169,1274.126,1267.217,672.0703708134038,668.2711777064953,653.1976340337437,712.9237245912143,2791.4964999999997,2364.5281999999997,2255.8980000000006,2286.351699999999,0.46967108133035085,0.4902399284422545,0.4836735882809264,0.5324190811193941,38,38,39,40,4589.3358619180635,1150.3309213698349,3414.3970507761487,822.7807275433242,2175.5716214268828,472.8531751704754,953.7360950301535,195.75001276168234,4573.578154979095,1166.088628308803,3354.361461625953,882.8163166935201,2188.0483008286074,460.37649576875083,959.006769599923,190.4793381919128,0.1451944780046512,0.19356468187474807,0.13599760358762844,0.14586602645478844,674.4234437042447,668.9179614751077,299.45899155268415,140.80403112286007
6,675R-10-0,2017-03-10,1855.9856896551726,1835.5012333333336,1848.4245333333336,1851.2520666666667,1891.0040000000001,1480.1080000000002,1481.6345000000001,1699.1915,1279.399582675324,1403.9757312361376,1601.9364061599977,1424.345674746077,4196.722599999998,4667.536449999998,5223.14635,4444.011499999995,0.6893369867054451,0.7649004564744798,0.8666496128306441,0.7693958593713982,29,30,30,30,4648.7397655107525,1405.5927022828764,3468.094424048899,1092.2328032747173,2283.04153527517,743.5342534695715,1012.9538990262954,351.073578991919,4584.634831813783,1469.6976359798455,3483.634542689084,1076.6926846345323,2305.1635108173255,721.4122779274162,985.0099643972981,379.01751362091636,0.1790493772470284,0.188763415824976,0.2546212586416906,0.23106583528776573,845.67246903106,665.1244046099526,590.6124744036796,237.80422121143434
7,675R-10-0,2017-03-13,1470.3560555555555,1453.4311621621623,1462.454810810811,1437.5946052631582,1249.4535,1280.891,1336.7540000000001,1262.1725000000001,875.809715889863,1002.4936433159652,1036.9507210673257,996.8724888767232,3123.932,3303.6857999999997,3338.0513999999994,3399.6114000000002,0.5956446485058677,0.689742775175282,0.7090480426485258,0.6934308776807361,36,37,37,38,4212.875447818058,1499.1979507550777,3121.491003703788,1321.5736786616053,2026.463626075652,810.9659222080136,902.9420591296599,275.7243870755193,4403.544732195783,1308.5286663773531,3202.4510806652634,1240.61360170013,2038.701070052893,798.7284782307725,915.029915796129,263.63653040905024,0.2865555370705793,0.29365854897605814,0.29826121383805976,0.289416077915452,1222.6020407907279,928.3300917145006,612.1153718491761,264.6550765353154
8,675R-10-0,2017-03-14,1471.9795405405405,1439.2155135135135,1415.8926052631577,1442.0081794871796,1317.7630000000001,1204.047,1329.5770000000002,1263.834,826.649667133867,905.216174860048,759.8289652893102,884.079548196043,2718.3659999999954,3415.856999999999,2717.7702499999987,3187.2338000000004,0.5615904598988547,0.6289649926369756,0.5366430776351773,0.6130891355348952,37,37,38,39,4222.387244303267,1242.2374218012046,3167.3852840567088,1595.0385334243701,2074.3188793158843,854.199570086555,940.798295902621,428.61125928578736,4264.140311838912,1200.48435426556,3158.9002382271974,1603.5235792538815,2079.732034550212,848.7864148522272,957.8985732771489,411.5109819112595,0.28923391733503767,0.3130736234567902,0.31284381911984743,0.30671015969413085,1236.429086784352,1003.9435804363579,656.9994890087338,292.1370348271815
9,675R-10-0,2017-03-15,1624.727206896552,1640.2889642857147,1416.933851851852,1381.050703703704,1155.952,1356.7855,1436.02,1424.046,1117.0854663266557,1208.7341675212524,916.2222804308464,909.1802488988815,3471.808399999997,3467.0947499999984,2759.412,3109.6529999999993,0.6875526313493818,0.7369031883035386,0.6466231851496779,0.6583250321372275,29,28,27,27,4310.296249817758,1342.0102253817568,3144.6385875083606,1147.9203817123025,2019.905406296108,851.1930742811794,922.9876651324521,314.2108342009351,4310.597137038216,1341.7093381612985,3078.2934063636,1214.2655628570633,1999.4265528952847,871.6719276820027,887.1333035735338,350.0651957598534,0.17930455049691385,0.19108878408590213,0.21196323488127816,0.18601800736362495,786.535656110754,611.5414794424703,435.72407212889675,174.73136445604084
