,linhas,date,mean_geral,mean_25_perc,mean_50_perc,mean_75_perc,median_geral,median_25_perc,median_50_perc,median_75_perc,std_geral,std_25_perc,std_50_perc,std_75_perc,perc95_geral,perc95_25_perc,perc95_50_perc,perc95_75_perc,cv_geral,cv_25_perc,cv_50_perc,cv_75_perc,trips_geral,trips_25_perc,trips_50_perc,trips_75_perc,ltt_mean,rbt_mean,ltt_mean_25_perc,rbt_mean_25_perc,ltt_mean_50_perc,rbt_mean_50_perc,ltt_mean_75_perc,rbt_mean_75_perc,ltt_median,rbt_median,ltt_median_25_perc,rbt_median_25_perc,ltt_median_50_perc,rbt_median_50_perc,ltt_median_75_perc,rbt_median_75_perc,ltt_cv,ltt_cv_25_perc,ltt_cv_50_perc,ltt_cv_75_perc,ltt_std,ltt_std_25_perc,ltt_std_50_perc,ltt_std_75_perc
0,695H-10-0,2017-03-02,2081.6153846153848,2078.4750769230773,2019.9324615384614,1981.1192222222223,1706.0,1582.0275000000001,1474.5620000000001,1276.027,1483.3706262946719,1509.497686220868,1574.4076812369594,1590.5788745908571,4319.0,4453.9295,4708.34975,4499.3123,0.7126055261014276,0.7262524833617398,0.7794358035306921,0.8028688312895698,26,26,26,27,4343.497885914076,627.083169369479,3273.12967601242,547.5719715177415,1972.6868926841369,340.49790941869765,1000.8797043006418,316.5411204518407,4318.192230012944,652.388825270611,3288.9642092054773,531.7374383246843,1969.4415515102828,343.7432505925517,994.8816250268123,322.5391997256702,0.08791098469305256,0.10815990895516993,0.12564706066683307,0.18850973518540562,388.5999517770034,360.2877598598895,252.24959381691656,192.01521786369196
1,695H-10-0,2017-03-03,1997.7777777777778,2002.1072962962967,1857.56,1862.6819642857142,1350.0,1428.258,1517.468,1415.2355000000002,1562.2482837243385,1576.7173196549804,1589.6272060195145,1532.5184767583037,5320.599999999999,5043.1012,5064.56975,4876.1555499999995,0.7819930229988347,0.7875288814799056,0.8557608938712691,0.8227483307092529,27,27,28,28,4429.749900845347,980.2526132315816,3340.3424972402518,729.6718713320961,2244.8748338496453,758.6828124546473,1213.3901715707225,516.0984226309981,4392.666995394267,1017.3355186826611,3274.794373171116,795.2199954012317,2156.5941049407256,846.963541363567,1163.9957192274096,565.492874974311,0.12014967697005718,0.13661906633640192,0.2064913737689801,0.26724314582534914,541.3316790644647,464.1559695035869,471.47174768034506,329.81368857406665
2,695H-10-0,2017-03-06,2002.5755384615384,2042.3824615384617,2002.4815925925927,1932.9153461538465,1497.5,1454.2925,1258.895,1324.7000000000003,1563.1690629095558,1598.6339075128924,1597.5912537427007,1586.441303234934,4590.0,4588.418250000001,4656.576099999999,4865.513,0.7805793254173309,0.7827299429063312,0.7978057124981186,0.8207505343633732,26,26,27,26,4250.60174895464,946.3151878594299,3150.6977227823154,783.797131534815,2065.5905719579155,771.9754056607449,1064.0054707367167,388.4657755490548,4108.795974714485,1088.120962099585,3048.7251822510416,885.7696720660888,2001.3355280067128,836.2304496119475,1023.2777938410497,429.19345244472174,0.11761497872755712,0.13510255849427538,0.2062330769958551,0.2390383019397095,509.1083083588931,433.47838451196026,433.8101386318435,259.0052036770438
3,695H-10-0,2017-03-07,1680.40625,1691.1713125,1725.3696129032257,1561.12835483871,1194.5,1295.0955,1184.133,1257.4070000000002,1361.8291675407654,1316.6424938961698,1448.6346542916813,1137.747453938953,4717.8,4178.418900000001,4227.395,3997.2485,0.8104166284437263,0.7785388057167447,0.839608303900814,0.7287981480910971,32,32,31,31,4437.353180773412,991.9775918216965,3272.5798061170713,683.5565613893882,2110.118566482461,635.7179853919774,1112.2121822846173,481.54409382479093,4388.016116413292,1041.3146561818157,3196.658365115658,759.4780023908015,2042.171835335962,703.6647165384766,1113.4621398323497,480.29413627705844,0.10849091966297397,0.10576390468568536,0.1564402292590066,0.22722964879327595,488.8767326861369,351.4873529606718,335.2256822118884,256.64607434823614
4,695H-10-0,2017-03-08,1524.6666666666667,1521.259970588235,1510.4694000000002,1512.9612285714288,1019.965,1295.707,1338.3490000000002,1343.073,1080.5483701102205,993.4544616868375,1033.1686836591366,1066.6833908347458,3973.6,3742.8956000000007,3684.3418999999994,3774.8495000000003,0.7087112178248057,0.6530471325704391,0.6840050408562639,0.70503022198522,33,34,35,35,4161.1914412023725,703.6342372484787,3075.6136101713087,513.6895927704377,2011.5126878676258,448.5016357557413,1041.9306471115574,285.119785069749,4262.984833310515,601.8408451403366,3167.0365407920176,422.26666214972875,2058.4210084523593,401.5933151710078,1090.3841324969228,236.6662996843836,0.19579091114416083,0.20176818390036477,0.21626998670116504,0.27486700872584907,826.280402146407,629.3636954757683,441.2007662544714,290.45486616608025
5,695H-10-0,2017-03-09,1414.5675675675675,1443.0663513513514,1415.8060263157895,1383.0513333333333,982.0000000000001,1114.634,1341.162,1043.8210000000001,1100.1780418178166,1073.7698832478602,1149.1161293519865,1216.5023585534782,3852.3919999999976,3719.022799999998,3548.1497,3527.6875000000005,0.7777486682446973,0.7440890588588213,0.8116338735626211,0.8795786022067232,37,37,38,39,4143.465700872112,1288.2680173250346,3058.000334397753,867.0447044309749,1996.1815320242915,638.023802108926,1013.9905343114294,485.57610070155147,4140.273357325496,1291.4603608716507,3082.682190831078,842.3628479976496,2016.3210065083522,617.8843276248654,1043.7065641175955,455.86007089538543,0.21911229488425776,0.23321070630114987,0.27180989245466886,0.2874558601539273,919.1627765046939,722.0178683245989,549.3222936520015,295.0984988372662
6,695H-10-0,2017-03-10,2386.2272727272725,2386.9545652173915,2414.159695652174,2315.104954545455,1809.2975000000001,1764.7120000000002,1846.2900000000002,1667.605,1549.2748146227327,1574.5298281890616,1547.7573814496732,1563.8141662705104,4798.1862,4767.3198,4649.3405,4622.1046,0.6492570227193958,0.6596396308220729,0.6411164034579551,0.6754830545371745,22,23,23,22,4360.445139349913,764.5220367331322,3203.8847058391434,758.812531676529,2099.692534404387,910.3588705483439,1133.5548857648832,658.8958844080055,4336.8611465235945,788.1060295594507,3140.7692587231822,821.9279787924902,2001.2223857400204,1008.8290192127106,1137.0351567802368,655.415613392652,0.11903224737560403,0.150088872039925,0.21756332467153006,0.34451833948562843,530.6987170519184,491.67480096996593,467.0829005608932,399.30750795798707
7,695H-10-0,2017-03-13,1842.241379310345,1737.592896551724,1744.3371034482757,1715.1549,1377.298,1515.0720000000001,1606.998,1492.634,1480.0080624921661,1275.8025274463619,1317.9676092123905,1371.3569416249193,5357.998799999999,4607.864399999998,4630.642599999997,4565.834799999995,0.803373585629814,0.7342355795642402,0.7555693257954436,0.7995528226779512,29,29,29,30,4238.45878369471,608.0875954796775,3144.480835399331,670.603960259979,2050.276893265489,554.0649744044717,1119.91408632369,562.5888825399345,4156.127272843859,690.4191063305288,3061.893107290931,753.1916883683793,1995.684891262609,608.6569764073517,1038.7957918102684,643.7071770533562,0.11995272577579605,0.14749178289836756,0.19156786282093036,0.2681125234135581,516.5498356897203,471.20611726439324,399.0518362881864,305.0675046253412
8,695H-10-0,2017-03-14,1575.375,1557.5125757575759,1594.6807352941178,1624.1336764705882,1444.0,1410.6770000000001,1437.8105,1526.4850000000001,823.3118761802355,908.6164243285651,975.7900581486347,973.2209554207016,3294.25,3273.6964,3464.8259,3429.259,0.5226132674317133,0.5833766214610583,0.6119030828880385,0.5992246632897928,32,33,34,34,4022.5608502535247,1156.315040423378,2993.743074853617,986.8523771955824,1948.3979607774977,971.4751337091097,1019.1995870431114,754.4962025788103,4117.758770812442,1061.1171198644606,3071.4767230415973,909.1187290076023,1987.4120609455363,932.4610335410712,1016.0377931538758,757.6579964680459,0.22887402259265213,0.2508914586255282,0.30239397022310643,0.388943510111555,934.5049663393481,762.4000061430955,598.0441988135715,402.372468049237
9,695H-10-0,2017-03-15,2164.0,2158.7384444444447,2145.9018333333333,2134.100666666667,1843.486,1808.9405000000002,1816.8010000000002,1715.854,1563.0224443378925,1624.8245870814421,1566.6325353694242,1510.3648627161353,5600.7,5724.9091,5719.219150000001,5580.092200000001,0.7222839391579909,0.7526732065493899,0.7300578763828622,0.7077289681349622,18,18,18,18,3703.9815604258465,650.4311225922347,2712.0779902429886,476.8453749343644,1769.905320676419,407.0838476114161,887.6500791336221,266.3631517478102,3920.2499154933025,434.1627675247787,2882.451488263003,306.4718769143501,1914.1395655287577,262.84960275907747,908.2682218757054,245.74500900572684,0.25874032992782064,0.2620340588833309,0.27751480498893244,0.30754442465347814,986.1539881730481,731.2598182328562,505.4148332287913,280.90627856706766
