,linhas,date,mean_geral,mean_25_perc,mean_50_perc,mean_75_perc,median_geral,median_25_perc,median_50_perc,median_75_perc,std_geral,std_25_perc,std_50_perc,std_75_perc,perc95_geral,perc95_25_perc,perc95_50_perc,perc95_75_perc,cv_geral,cv_25_perc,cv_50_perc,cv_75_perc,trips_geral,trips_25_perc,trips_50_perc,trips_75_perc,ltt_mean,rbt_mean,ltt_mean_25_perc,rbt_mean_25_perc,ltt_mean_50_perc,rbt_mean_50_perc,ltt_mean_75_perc,rbt_mean_75_perc,ltt_median,rbt_median,ltt_median_25_perc,rbt_median_25_perc,ltt_median_50_perc,rbt_median_50_perc,ltt_median_75_perc,rbt_median_75_perc,ltt_cv,ltt_cv_25_perc,ltt_cv_50_perc,ltt_cv_75_perc,ltt_std,ltt_std_25_perc,ltt_std_50_perc,ltt_std_75_perc
0,775P-10-0,2017-03-02,2370.5394782608696,2386.8685,2283.562565217391,2426.654090909091,1846.0000000000002,1848.6805,1758.49,1907.4790000000003,1328.1144866788977,1510.7528072351324,1754.1139329053347,1720.9539303334595,4624.979299999999,4951.537050000001,5844.844599999999,5399.562900000001,0.5602583288987282,0.6329434601173598,0.7681479630221326,0.7091879871880475,23,22,23,22,4350.958865467583,2407.3882849119245,3735.1292909588565,2262.1924726775324,2622.5416081217686,993.6115764204646,1197.6118897126453,234.5325172792691,4069.542643980614,2688.8045063988934,3412.883875354246,2584.437888282143,2524.1783748096846,1091.9748097325487,1212.6410943032188,219.5033126886956,0.25611827407732507,0.2808079248899776,0.20746326274742327,0.18909985541947388,1137.3389891590514,1070.482034554463,555.300384819755,231.13817465508615
1,775P-10-0,2017-03-03,2589.0476190476193,2635.0389999999998,2633.168,2479.4858,1723.49,2096.7000000000003,2218.011,1924.2820000000002,1596.4099471309828,1565.2052056531438,1575.2762003746834,1351.825838823478,6102.532,6030.3640000000005,5836.885,4207.598000000002,0.6166012302694618,0.5939969790402131,0.5982437126589277,0.5452041059575651,21,21,21,20,3860.583356746508,816.1293464045148,3246.8092513459396,681.4750825967899,2370.388485266734,503.390649879937,1233.631439869237,388.56844227289776,4220.8436963612985,455.86900678972415,3569.1064417520993,359.17789219063025,2646.842076354341,226.93705879232994,1295.3890679557871,326.81081418634767,0.3242404626389825,0.3253025080318571,0.32300116487889424,0.3422975538131289,1279.8902245868705,1079.932879864757,782.845744226258,431.7594006910387
2,775P-10-0,2017-03-06,2452.846227272727,2465.368454545455,2457.286590909091,2351.7738636363642,1932.2035,2076.1875,2062.9975,1750.6435000000001,1588.4010500375146,1641.709289609888,1763.3215685273028,1646.7752751420492,4450.65,4684.626450000001,5262.263449999999,4682.0494,0.6475746552622776,0.6659082891172036,0.7175888946168665,0.7002268800605553,22,22,22,22,4235.895251912283,1021.6062529304909,3617.0416893514534,954.273964855171,2658.575040290249,751.3386558608963,1365.7038916816225,561.0964586271168,4360.353396746361,897.1481080964131,3714.085407179158,857.2302470274662,2765.0712561980645,644.8424399530809,1360.8674510379021,565.9328992708372,0.25087752429136095,0.25710902004017655,0.2658408464198079,0.29579917293473695,1085.5470968209459,949.9757742671297,721.9586713173613,412.6626902970101
3,775P-10-0,2017-03-07,2276.92,2224.1048333333333,2220.174166666667,2229.3063333333334,1819.0,1781.2755000000002,1816.3365000000001,1794.4225000000001,1359.3655235831225,1399.6571762004614,1344.857479173025,1373.8014852230028,4075.599999999999,4166.476949999999,4267.318550000001,4511.460550000001,0.5970194488972482,0.629312591395592,0.6057441345658804,0.6162461680036807,25,24,24,24,4708.63331152377,868.1674401138425,4051.183381688939,829.6700549333796,2990.7254972415785,569.7505712339898,1544.8021726835182,531.52338642715,4687.9586094264805,888.8421422111323,4013.3059530207847,867.5474836015337,3035.9384634474604,524.5376050281079,1510.3529079165019,565.9726511941662,0.10944340666484259,0.11663565046584362,0.11878356510937407,0.18993311114305708,525.9553258663472,482.255957870254,362.5745299327284,299.45939110665057
4,775P-10-0,2017-03-08,4881.363636363636,4867.547727272728,4865.664090909092,4123.294818181818,5000.593000000001,4192.261,3694.2870000000003,2199.485,3499.55878315365,3452.243339391825,3395.5862796601255,3056.6287542809587,10352.0,10223.619,9770.201500000001,8682.781500000001,0.7169223692092402,0.7092366696373631,0.6978669748296784,0.7413073498413558,11,11,11,11,4154.753140883665,1737.2810182243547,3536.5364095931423,1626.203179204807,2687.768554130724,1156.6810142908525,1306.2020623682226,544.8377048001632,4301.708316543458,1590.3258425645618,3690.4209835312586,1472.3186052666906,2808.4734352475134,1035.9761331740633,1386.0155030287358,465.0242641396501,0.35197059485559773,0.3649905447735077,0.3749502995372671,0.3645444182055194,1527.3757371481797,1348.199085122677,1052.5914884735423,497.34195640307325
5,775P-10-0,2017-03-09,2522.372590909091,2520.772545454546,2514.156818181818,2581.0880952380953,2029.6680000000001,2012.6150000000002,2108.6455,2259.385,1440.694573782272,1522.2760569554653,1534.7146077533405,1490.7863252746822,5270.3189999999995,5431.515149999999,5308.907650000001,5507.851000000001,0.5711664402692506,0.6038926676270064,0.6104291493094738,0.5775805669031855,22,22,22,21,4477.2129736194365,1238.443560358016,3865.881165434663,1207.5858323387533,2791.1377928834204,930.75623930863,1434.986627986697,475.61640112418945,4733.699537695598,981.9569962818541,4092.1821200230684,981.2848777503482,2958.0234221389337,763.8706100531167,1484.7111288574274,425.89190025345897,0.2568007402210892,0.27112953283138375,0.2775383632539664,0.29584366907153065,1175.5919468974575,1071.7115306045343,792.0578045129954,434.0729388105862
6,775P-10-0,2017-03-10,2504.889181818182,2474.1294545454552,2442.6746818181814,2397.119090909091,2016.5000000000002,2023.3705,1889.5175000000002,1977.2015000000001,2191.8926845139295,2046.327797465167,1952.0832025526054,1685.243098079972,3855.3865000000005,3951.5112999999997,5065.72935,5469.65,0.8750457706567829,0.827090027041902,0.7991580774479519,0.703028524728346,22,22,22,22,4798.777409098448,1452.8583489713583,4181.695215828752,1426.278100537087,3126.2245937858893,1429.4723472042838,1496.3091368840508,933.7523804408818,4872.189013121032,1379.4467449487738,4115.157336574641,1492.8159797911985,3071.8237420280066,1483.8731989621665,1496.7224570683072,933.3390602566253,0.25588296265919913,0.26589207690954514,0.28743028592779224,0.3350741386575048,1256.8216959971426,1138.0450793804223,919.7173838294158,513.1731564150516
7,775P-10-0,2017-03-13,2366.4583333333335,2388.168913043479,2387.6636086956523,2364.9772272727273,1970.0,2097.4080000000004,2283.703,1995.4830000000002,1295.4729927200726,1362.5603758499162,1422.2083697692167,1443.3131959786776,4457.9,4679.8022,4451.6529,4538.812449999999,0.5474311440317235,0.5705460649822593,0.5956485514080224,0.6102862976161063,24,23,23,22,4390.225842013577,1254.4120823361354,3710.950108928147,1265.996821512184,2625.3420426203893,580.1386777697517,1394.0932251749107,491.0594192971255,4482.099194811481,1162.5387295382316,3754.052203613641,1222.8947268266902,2722.750074367558,482.73064602258273,1362.603235774318,522.5494086977183,0.1661605681866806,0.18354703930034133,0.1696442947335812,0.248686515167737,744.5248776056987,695.1793812281057,454.5582407182371,353.84123061664525
8,775P-10-0,2017-03-14,2854.5789473684213,2807.870842105263,2808.88547368421,2812.440368421053,2246.0,2145.127,1969.6090000000002,1965.487,1541.1967254008048,1607.5854720372229,1717.1232625805474,1923.9016541322198,5556.741799999997,5726.609099999998,5838.919299999998,6763.462100000001,0.5399033461034956,0.5725282829718408,0.6113183604913311,0.6840684253200106,19,19,19,19,4367.653603937437,914.5655832379498,3737.8186658995523,932.8791401331023,2762.5744366138556,758.1507487679723,1404.762646246902,476.1546449943769,4662.435991368584,619.7831958068027,3953.6154026734876,717.0824033591671,2827.9995797039865,692.7256056778415,1421.6860547992374,459.23123644204156,0.2538606702187191,0.25811444240564757,0.2664383570691371,0.2718870649039295,1137.579630752426,989.8485046787905,755.1773107479261,391.8588812517241
9,775P-10-0,2017-03-15,3459.0,3450.1867272727277,3425.1893636363634,3341.355,2915.0,2890.6980000000003,2866.6310000000003,2854.5710000000004,1811.3729642571682,1803.144881083386,1826.9412969367831,1786.2964673167219,6112.5,6151.435,6147.165000000001,6242.085,0.523669547342344,0.5226224038339861,0.533384027269431,0.5346024194725558,11,11,11,11,5659.316526294155,3397.2860695053714,5013.192312734209,3397.803766749432,4176.350971254878,3289.3872233174307,2549.448774516165,3059.5473426204962,4738.148964942033,4318.453630857493,3988.3955762122823,4422.600503271358,3228.337590314969,4237.400604257339,1763.8564881859797,3845.1396289506815,0.3339141933546619,0.37548084673840315,0.44041876728902807,0.6525423200952682,1981.9614677398372,1974.2334053581183,1929.1195766597943,1744.822751360517
