linhas,headway,cross
1016-10-0,555.789474,True
1017-10-0,495.78947400000004,True
1018-10-0,625.263158,True
1021-10-0,1547.3684210000001,True
1024-10-0,315.78947400000004,True
1025-10-0,748.2352940000001,True
1026-10-0,1051.578947,True
106A-10-0,470.526316,True
107T-10-0,808.421053,True
1156-10-0,631.578947,True
1177-10-0,900.0,True
1178-10-0,836.842105,True
118C-10-0,628.421053,True
118Y-10-0,470.526316,True
119C-10-0,824.210526,True
119L-10-0,2747.368421,True
128Y-10-0,565.263158,True
129F-10-0,543.157895,True
148L-10-0,476.842105,True
148P-10-0,846.3157890000001,True
1702-10-0,694.736842,True
1703-10-0,1143.1578949999998,True
1705-10-0,296.842105,True
1709-10-0,517.894737,True
1720-10-0,423.157895,True
1722-10-0,584.210526,True
1726-10-0,641.052632,True
172J-10-0,331.578947,True
172K-10-0,742.105263,True
172R-10-0,258.94736800000004,True
172U-10-0,836.842105,True
172X-10-0,360.0,True
172Y-10-0,590.5263160000001,True
1732-10-0,1016.8421050000001,True
1738-10-0,925.263158,True
1741-10-0,707.368421,True
1742-10-0,663.333333,True
1743-10-0,663.333333,True
1744-10-0,808.421053,True
1745-10-0,1057.8947369999999,True
174M-10-0,1016.8421050000001,True
1756-10-0,1054.736842,True
1758-10-0,770.5263160000001,True
1759-10-0,710.5263160000001,True
175P-10-0,710.5263160000001,True
175T-10-0,546.315789,True
1760-10-0,1222.1052630000001,True
1764-10-0,761.052632,True
1765-10-0,874.736842,True
1767-10-0,798.947368,True
1771-10-0,1007.3684210000001,True
1772-10-0,615.789474,True
1773-10-0,877.894737,True
1775-10-0,1783.3333329999998,True
177H-10-0,1152.6315789999999,True
177Y-10-0,442.105263,True
1780-10-0,776.842105,True
1783-10-0,849.4736839999999,True
1785-10-0,833.684211,True
1786-10-0,388.421053,True
1787-10-0,704.210526,True
1788-10-0,1035.789474,True
178A-10-0,729.4736839999999,True
178L-10-0,704.210526,True
178T-10-0,855.789474,True
178Y-10-0,363.333333,True
179X-10-0,874.736842,True
199D-10-0,852.6315789999999,True
2004-10-0,536.842105,True
2007-10-0,372.631579,True
2008-10-0,318.94736800000004,True
2009-10-0,457.894737,True
2010-10-0,729.4736839999999,True
2011-10-0,628.421053,True
2013-10-0,372.631579,True
2014-10-0,527.368421,True
2016-10-0,622.105263,True
2019-10-0,674.1176469999999,True
2020-10-0,1547.3684210000001,True
2021-10-0,423.157895,True
2023-10-0,931.5789470000001,True
2025-10-0,612.631579,True
2026-10-0,2052.631579,True
2029-10-0,763.333333,True
2031-10-0,770.5263160000001,True
2058-10-0,862.105263,True
2059-10-0,363.157895,True
2076-10-0,1061.0526320000001,True
2080-10-0,805.263158,True
2088-10-0,1500.0,True
208V-10-0,685.263158,True
209P-10-0,562.105263,True
2100-10-0,429.473684,True
2104-10-0,486.666667,True
2105-10-0,1320.0,True
211L-10-0,1166.666667,True
2123-10-0,808.421053,True
2127-10-0,748.421053,True
213C-10-0,1042.1052630000001,True
2161-10-0,1007.3684210000001,True
2175-10-0,1427.3684210000001,True
2182-10-0,634.736842,True
2201-10-0,565.263158,True
2202-10-0,325.26315800000003,True
2203-10-0,952.9411759999999,True
2290-10-0,413.684211,True
233A-10-0,1405.263158,True
233C-10-0,852.6315789999999,True
2363-10-0,890.5263160000001,True
2435-10-0,1136.8421050000002,True
2451-10-0,1531.578947,True
2460-10-0,871.5789470000001,True
2463-10-0,2052.631579,True
2522-10-0,1045.263158,True
2523-10-0,1168.421053,True
253F-10-0,1326.315789,True
2551-10-0,1301.0526320000001,True
2552-10-0,514.736842,True
2582-10-0,941.052632,True
2583-10-0,1143.1578949999998,True
2590-10-0,792.631579,True
2626-10-0,754.736842,True
263C-10-0,1200.0,True
263J-10-0,620.0,True
2666-10-0,792.631579,True
2678-10-0,713.684211,True
2702-10-0,486.31578899999994,True
2704-10-0,552.631579,True
2705-10-0,600.0,True
2706-10-0,495.78947400000004,True
2707-10-0,489.473684,True
2708-10-0,581.052632,True
2711-10-0,691.578947,True
2715-10-0,508.42105300000003,True
2716-10-0,682.105263,True
2718-10-0,366.315789,True
2719-10-0,262.105263,True
271A-10-0,780.0,True
271F-10-0,726.315789,True
271M-10-0,833.684211,True
271P-10-0,1042.1052630000001,True
2720-10-0,347.368421,True
2721-10-0,603.157895,True
2722-10-0,341.05263199999996,True
2723-10-0,745.263158,True
2726-10-0,571.578947,True
2728-10-0,271.578947,True
2730-10-0,558.947368,True
2731-10-0,378.94736800000004,True
2733-10-0,533.684211,True
2734-10-0,549.4736839999999,True
2735-10-0,580.0,True
273D-10-0,1263.1578949999998,True
273F-10-0,1800.0,True
273G-10-0,423.157895,True
273J-10-0,723.157895,True
273L-10-0,798.947368,True
273R-10-0,416.842105,True
273V-10-0,1831.578947,True
273X-10-0,426.31578899999994,True
274P-10-0,1468.421053,True
2755-10-0,1092.6315789999999,True
2756-10-0,1357.8947369999999,True
2762-10-0,862.105263,True
2765-10-0,337.894737,True
2766-10-0,521.052632,True
2767-10-0,1373.684211,True
2769-10-0,1357.8947369999999,True
2772-10-0,1705.2631579999997,True
2780-10-0,1102.1052630000001,True
278A-10-0,990.0,True
297A-10-0,466.666667,True
3001-10-0,814.736842,True
3002-10-0,533.684211,True
3006-10-0,600.0,True
3020-10-0,912.6315789999999,True
3021-10-0,1389.473684,True
3023-10-0,590.5263160000001,True
3024-10-0,1231.578947,True
3025-10-0,1048.421053,True
3026-10-0,252.63157900000002,True
3027-10-0,858.947368,True
3029-10-0,454.73684199999997,True
3031-10-0,663.157895,True
3033-10-0,470.526316,True
3046-10-0,369.473684,True
3053-10-0,350.526316,True
3054-10-0,840.0,True
3063-10-0,824.210526,True
3064-10-0,274.73684199999997,True
3069-10-0,732.631579,True
3098-10-0,495.78947400000004,True
3099-10-0,453.333333,True
3112-10-0,694.736842,True
3134-10-0,710.5263160000001,True
3139-10-0,1700.0,True
3141-10-0,764.210526,True
314J-10-0,896.8421050000001,True
314V-10-0,1054.736842,True
3160-10-0,511.57894699999997,True
3161-10-0,978.947368,True
3301-10-0,947.3684210000001,True
3390-10-0,663.157895,True
3414-10-0,783.157895,True
342C-10-0,950.5263160000001,True
342M-10-0,385.26315800000003,True
3459-10-0,451.57894699999997,True
3462-10-0,1057.8947369999999,True
352A-10-0,817.894737,True
354M-10-0,802.105263,True
364A-10-0,748.421053,True
3686-10-0,783.157895,True
3712-10-0,549.4736839999999,True
3721-10-0,360.0,True
3722-10-0,1020.0,True
3729-10-0,388.421053,True
372F-10-0,607.0588240000001,True
372U-10-0,334.73684199999997,True
3731-10-0,388.421053,True
3732-10-0,363.157895,True
3734-10-0,290.526316,True
3736-10-0,413.684211,True
3737-10-0,435.78947400000004,True
3738-10-0,382.105263,True
3739-10-0,622.105263,True
373L-10-0,922.105263,True
373M-10-0,1657.8947369999999,True
373T-10-0,637.894737,True
3741-10-0,571.578947,True
3742-10-0,672.631579,True
3743-10-0,570.0,True
3745-10-0,546.315789,True
3746-10-0,625.263158,True
3749-10-0,1468.421053,True
374M-10-0,767.368421,True
374V-10-0,457.894737,True
3751-10-0,533.684211,True
3754-10-0,467.368421,True
3756-10-0,480.0,True
3761-10-0,457.894737,True
3762-10-0,416.842105,True
3766-10-0,647.368421,True
3768-10-0,805.263158,True
3773-10-0,549.4736839999999,True
3778-10-0,454.73684199999997,True
3787-10-0,429.473684,True
3789-10-0,375.78947400000004,True
3791-10-0,457.894737,True
3795-10-0,821.052632,True
3796-10-0,568.421053,True
3901-10-0,1383.333333,True
3902-10-0,827.368421,True
3903-10-0,1366.666667,True
390E-10-0,682.105263,True
4001-10-0,840.0,True
4002-10-0,795.789474,True
4003-10-0,1389.473684,True
4007-10-0,821.052632,True
4008-10-0,1127.3684210000001,True
4010-10-0,1800.0,True
4011-10-0,767.368421,True
4012-10-0,385.26315800000003,True
4013-10-0,593.684211,True
4014-10-0,697.894737,True
4017-10-0,735.789474,True
4018-10-0,407.368421,True
4024-10-0,618.947368,True
4025-10-0,821.052632,True
4027-10-0,442.105263,True
4028-10-0,1010.5263160000001,True
4029-10-0,375.78947400000004,True
4030-10-0,650.5263160000001,True
4031-10-0,521.052632,True
4032-10-0,780.0,True
4033-10-0,1033.333333,True
4051-10-0,448.42105300000003,True
4052-10-0,385.26315800000003,True
4056-10-0,691.578947,True
407A-10-0,757.894737,True
407E-10-0,972.6315789999999,True
407F-10-0,767.368421,True
407G-10-0,426.31578899999994,True
407H-10-0,685.263158,True
407I-10-0,1016.8421050000001,True
407J-10-0,701.052632,True
407K-10-0,606.315789,True
407L-10-0,666.315789,True
407P-10-0,653.684211,True
407R-10-0,798.947368,True
407T-10-0,480.0,True
407W-10-0,1127.3684210000001,True
4085-10-0,767.368421,True
408A-10-0,846.666667,True
4114-10-0,1966.6666670000002,True
414P-10-0,704.210526,True
4210-10-0,577.894737,True
4221-10-0,1563.1578949999998,True
425E-10-0,1405.263158,True
4288-10-0,1269.473684,True
4311-10-0,473.68421100000006,True
4312-10-0,606.315789,True
4313-10-0,543.157895,True
4314-10-0,862.105263,True
4315-10-0,565.263158,True
4491-10-0,1222.1052630000001,True
4706-10-0,1237.8947369999999,True
4708-10-0,1184.210526,True
4709-10-0,757.894737,True
4716-10-0,600.0,True
4721-10-0,990.0,True
4726-10-0,693.333333,True
4727-10-0,1020.0,True
4729-10-0,647.368421,True
4732-10-0,1373.684211,True
4734-10-0,325.26315800000003,True
4735-10-0,982.105263,True
475M-10-0,1452.6315789999999,True
475R-10-0,669.4736839999999,True
476A-10-0,997.894737,True
476G-10-0,735.789474,True
477A-10-0,701.052632,True
477P-10-0,922.105263,True
477U-10-0,1278.9473679999999,True
478P-10-0,1010.5263160000001,True
5010-10-0,729.4736839999999,True
5011-10-0,536.842105,True
5012-10-0,416.842105,True
5013-10-0,451.57894699999997,True
5015-10-0,694.736842,True
5018-10-0,808.421053,True
5020-10-0,448.42105300000003,True
5021-10-0,824.210526,True
5022-10-0,410.0,True
5024-10-0,612.631579,True
5029-10-0,590.5263160000001,True
502J-10-0,1023.1578949999999,True
5030-10-0,1076.8421050000002,True
5031-10-0,164.210526,True
5032-10-0,650.5263160000001,True
5033-10-0,990.0,True
5034-10-0,928.4210529999999,True
5035-10-0,672.631579,True
5036-10-0,1174.736842,True
5038-10-0,754.736842,True
507T-10-0,483.157895,True
509J-10-0,817.894737,True
509M-10-0,1329.473684,True
5100-10-0,1490.0,True
5105-10-0,224.210526,True
5106-10-0,1042.1052630000001,True
5107-10-0,666.315789,True
5108-10-0,577.894737,True
5109-10-0,397.894737,True
5110-10-0,375.78947400000004,True
5111-10-0,685.263158,True
5123-10-0,593.684211,True
5127-10-0,792.631579,True
5128-10-0,420.0,True
5129-10-0,757.894737,True
513L-10-0,1064.210526,True
5141-10-0,1177.8947369999999,True
5142-10-0,742.105263,True
5143-10-0,1253.684211,True
5144-10-0,1102.1052630000001,True
5145-10-0,1285.263158,True
514T-10-0,593.684211,True
5154-10-0,1095.789474,True
5175-10-0,1051.578947,True
5178-10-0,890.5263160000001,True
517J-10-0,694.736842,True
5185-10-0,1023.1578949999999,True
519M-10-0,1222.1052630000001,True
524L-10-0,1064.210526,True
524M-10-0,394.73684199999997,True
527R-10-0,903.1578949999999,True
5290-10-0,918.947368,True
5300-10-0,653.684211,True
5317-10-0,1146.315789,True
5318-10-0,590.5263160000001,True
5362-10-0,754.736842,True
5370-10-0,492.631579,True
5391-10-0,587.368421,True
546J-10-0,631.578947,True
546L-10-0,887.3684210000001,True
546T-10-0,337.894737,True
5611-10-0,1228.421053,True
5614-10-0,1260.0,True
5630-10-0,502.105263,True
5632-10-0,1190.526316,True
5652-10-0,934.736842,True
5701-10-0,673.333333,True
5702-10-0,707.368421,True
5705-10-0,1373.684211,True
573T-10-0,511.57894699999997,True
574A-10-0,953.6842109999999,True
574C-10-0,1168.421053,True
574R-10-0,514.736842,True
5752-10-0,530.5263160000001,True
5757-10-0,505.26315800000003,True
5759-10-0,887.3684210000001,True
575A-10-0,1165.263158,True
575C-10-0,1736.8421050000002,True
576C-10-0,991.5789470000001,True
576J-10-0,1348.421053,True
576M-10-0,985.263158,True
577T-10-0,824.210526,True
5791-10-0,1048.421053,True
6000-10-0,505.26315800000003,True
6001-10-0,963.1578949999999,True
6003-10-0,540.0,True
6006-10-0,798.947368,True
6007-10-0,1111.578947,True
6008-10-0,378.94736800000004,True
6010-10-0,555.789474,True
6012-10-0,941.052632,True
6013-10-0,985.263158,True
6014-10-0,729.4736839999999,True
6015-10-0,641.052632,True
6016-10-0,527.368421,True
6017-10-0,536.842105,True
6022-10-0,1089.473684,True
6026-10-0,1452.6315789999999,True
6027-10-0,685.263158,True
6028-10-0,581.052632,True
6030-10-0,549.4736839999999,True
6031-10-0,420.0,True
6034-10-0,524.210526,True
6035-10-0,612.631579,True
6036-10-0,590.5263160000001,True
6037-10-0,764.210526,True
6038-10-0,360.0,True
6039-10-0,363.157895,True
6041-10-0,385.26315800000003,True
6042-10-0,493.333333,True
6043-10-0,637.894737,True
6044-10-0,426.31578899999994,True
6045-10-0,382.105263,True
6046-10-0,660.0,True
6047-10-0,498.947368,True
6048-10-0,596.842105,True
6049-10-0,1023.1578949999999,True
6050-10-0,1263.1578949999998,True
6051-10-0,852.6315789999999,True
6052-10-0,492.631579,True
6053-10-0,1421.0526320000001,True
6056-10-0,318.94736800000004,True
6057-10-0,457.894737,True
6058-10-0,656.842105,True
6059-10-0,893.6842109999999,True
6061-10-0,830.5263160000001,True
6062-10-0,631.578947,True
6063-10-0,334.73684199999997,True
6069-10-0,631.578947,True
6071-10-0,827.368421,True
6072-10-0,451.57894699999997,True
