data,hora_utc,temp_hora_celsius,umidade_perc,pressao_hPa,veloc_vento_ms,dir_vento_ms,nebulosidade_decimos,insolacao_h,temp_max_Diaria_h,temp_min_diaria_h,chuva_diaria_mm,
01/01/2017,0000,26.8,61.0,923.4,2.1,5.0,10.0,8.50,31.7,,,
01/01/2017,1200,26.2,63.0,924.7,3.3,32.0,6.0,,,18.1,0.0,
01/01/2017,1800,31.5,45.0,923.3,4.6,32.0,7.0,,,,,
02/01/2017,0000,25.0,78.0,924.2,2.5,32.0,10.0,5.60,31.3,,,
02/01/2017,1200,24.8,72.0,924.2,3.3,5.0,6.0,,,18.1,16.0,
02/01/2017,1800,,,,,,,,,,,
03/01/2017,0000,22.8,89.0,922.8,2.5,23.0,10.0,7.00,31.3,,,
03/01/2017,1200,24.6,76.0,925.1,3.0,14.0,7.0,,,19.2,3.7,
03/01/2017,1800,,,,,,,,,,,
04/01/2017,0000,20.2,93.0,923.7,3.0,23.0,10.0,4.20,30.3,,,
04/01/2017,1200,22.6,75.0,924.3,1.6,23.0,10.0,,,18.8,5.0,
04/01/2017,1800,,,,,,,,,,,
05/01/2017,0000,27.0,56.0,923.6,2.5,32.0,10.0,6.10,31.2,,,
05/01/2017,1200,25.8,67.0,926.0,2.5,32.0,5.0,,,21.9,0.0,
05/01/2017,1800,,,,,,,,,,,
06/01/2017,0000,25.3,60.0,924.3,0.8,32.0,2.0,4.00,30.4,,,
06/01/2017,1200,24.0,74.0,926.1,1.6,27.0,10.0,,,21.6,0.0,
06/01/2017,1800,,,,,,,,,,,
07/01/2017,0000,24.5,78.0,925.6,2.1,18.0,10.0,2.30,30.2,,,
07/01/2017,1200,24.5,86.0,926.0,1.6,36.0,10.0,,,18.3,1.2,
07/01/2017,1800,,,,,,,,,,,
08/01/2017,0000,21.8,92.0,925.0,1.6,36.0,10.0,5.60,30.3,,,
08/01/2017,1200,23.2,84.0,924.2,0.8,5.0,10.0,,,18.4,82.8,
08/01/2017,1800,,,,,,,,,,,
09/01/2017,0000,23.2,89.0,922.1,0.0,0.0,3.0,2.10,30.4,,,
09/01/2017,1200,24.2,70.0,922.8,2.5,32.0,10.0,,,20.9,11.0,
09/01/2017,1800,,,,,,,,,,,
10/01/2017,0000,21.8,91.0,921.8,2.5,32.0,10.0,8.00,30.6,,,
10/01/2017,1200,23.4,79.0,922.9,2.1,32.0,10.0,,,20.3,16.7,
10/01/2017,1800,,,,,,,,,,,
11/01/2017,0000,26.8,67.0,922.4,2.1,32.0,6.0,2.70,30.1,,,
11/01/2017,1200,24.2,77.0,923.9,1.6,32.0,10.0,,,20.9,0.0,
11/01/2017,1800,24.0,78.0,922.5,4.6,18.0,10.0,,,,,
12/01/2017,0000,24.0,80.0,923.1,2.8,18.0,10.0,0.40,25.7,,,
12/01/2017,1200,23.8,84.0,924.8,2.5,14.0,10.0,,,19.8,15.6,
12/01/2017,1800,,,,,,,,,,,
13/01/2017,0000,21.5,93.0,924.7,3.0,14.0,10.0,3.10,28.2,,,
13/01/2017,1200,21.4,85.0,924.5,2.1,14.0,10.0,,,18.3,4.2,
13/01/2017,1800,,,,,,,,,,,
14/01/2017,0000,23.0,83.0,923.0,1.6,14.0,10.0,5.70,31.9,,,
14/01/2017,1200,22.5,80.0,923.1,1.6,14.0,4.0,,,20.2,0.0,
14/01/2017,1800,,,,,,,,,,,
15/01/2017,0000,24.2,80.0,920.8,2.5,14.0,10.0,5.00,30.7,,,
15/01/2017,1200,23.4,80.0,922.7,1.6,14.0,6.0,,,20.3,0.0,
15/01/2017,1800,,,,,,,,,,,
16/01/2017,0000,24.0,89.0,921.9,3.3,14.0,10.0,5.70,29.0,,,
16/01/2017,1200,24.0,82.0,922.3,3.3,14.0,8.0,,,18.6,115.0,
16/01/2017,1800,,,,,,,,,,,
17/01/2017,0000,24.2,85.0,921.9,0.0,0.0,10.0,0.00,24.2,,,
17/01/2017,1200,21.5,85.0,922.3,2.5,14.0,10.0,,,18.5,30.8,
17/01/2017,1800,,,,,,,,,,,
18/01/2017,0000,24.0,74.0,920.5,1.6,14.0,10.0,0.00,24.0,,,
18/01/2017,1200,22.2,86.0,922.6,3.3,32.0,10.0,,,18.4,23.0,
18/01/2017,1800,,,,,,,,,,,
19/01/2017,0000,21.5,96.0,923.0,0.8,5.0,10.0,0.00,25.4,,,
19/01/2017,1200,22.0,88.0,925.8,2.5,32.0,10.0,,,18.8,15.2,
19/01/2017,1800,,,,,,,,,,,
20/01/2017,0000,20.0,93.0,926.8,2.0,32.0,10.0,0.10,23.8,,,
20/01/2017,1200,19.9,94.0,928.8,1.6,32.0,10.0,,,17.8,15.8,
20/01/2017,1800,,,,,,,,,,,
21/01/2017,0000,20.1,95.0,927.2,3.0,32.0,10.0,0.00,22.0,,,
21/01/2017,1200,20.3,95.0,927.6,3.0,9.0,10.0,,,16.8,17.0,
21/01/2017,1800,,,,,,,,,,,
22/01/2017,0000,18.2,99.0,926.3,1.6,5.0,10.0,0.60,21.9,,,
