,line,route
0,101810,1018-10-0
1,102610,1026-10-0
2,106A10,106A-10-0
3,107T10,107T-10-0
4,117710,1177-10-0
5,117810,1178-10-0
6,148L10,148L-10-0
7,170910,1709-10-0
8,172010,1720-10-0
9,172K10,172K-10-0
10,172R10,172R-10-0
11,172U10,172U-10-0
12,172X10,172X-10-0
13,173210,1732-10-0
14,174110,1741-10-0
15,174510,1745-10-0
16,175610,1756-10-0
17,175810,1758-10-0
18,175910,1759-10-0
19,175P10,175P-10-0
20,175T10,175T-10-0
21,176710,1767-10-0
22,177210,1772-10-0
23,177H10,177H-10-0
24,177Y10,177Y-10-0
25,178010,1780-10-0
26,178710,1787-10-0
27,178810,1788-10-0
28,178L10,178L-10-0
29,178Y10,178Y-10-0
30,179X10,179X-10-0
31,200710,2007-10-0
32,200810,2008-10-0
33,201010,2010-10-0
34,201110,2011-10-0
35,201610,2016-10-0
36,201910,2019-10-0
37,202010,2020-10-0
38,202110,2021-10-0
39,202510,2025-10-0
40,202610,2026-10-0
41,202910,2029-10-0
42,203110,2031-10-0
43,205910,2059-10-0
44,208810,2088-10-0
45,208V10,208V-10-0
46,210010,2100-10-0
47,212710,2127-10-0
48,218210,2182-10-0
49,220310,2203-10-0
50,236310,2363-10-0
51,243510,2435-10-0
52,245110,2451-10-0
53,246010,2460-10-0
54,252310,2523-10-0
55,253F10,253F-10-0
56,258210,2582-10-0
57,258310,2583-10-0
58,259010,2590-10-0
59,270810,2708-10-0
60,271110,2711-10-0
61,271510,2715-10-0
62,271810,2718-10-0
63,271910,2719-10-0
64,271A10,271A-10-0
65,271P10,271P-10-0
66,272610,2726-10-0
67,273110,2731-10-0
68,273J10,273J-10-0
69,273V10,273V-10-0
70,276210,2762-10-0
71,276510,2765-10-0
72,276610,2766-10-0
73,276910,2769-10-0
74,300610,3006-10-0
75,302110,3021-10-0
76,302410,3024-10-0
77,302710,3027-10-0
78,302910,3029-10-0
79,306910,3069-10-0
80,309910,3099-10-0
81,314110,3141-10-0
82,314V10,314V-10-0
83,316010,3160-10-0
84,342C10,342C-10-0
85,352A10,352A-10-0
86,354M10,354M-10-0
87,364A10,364A-10-0
88,368610,3686-10-0
89,371210,3712-10-0
90,372110,3721-10-0
91,372910,3729-10-0
92,372U10,372U-10-0
93,373110,3731-10-0
94,373410,3734-10-0
95,373810,3738-10-0
96,373T10,373T-10-0
97,374510,3745-10-0
98,374610,3746-10-0
99,374M10,374M-10-0
100,374V10,374V-10-0
101,376110,3761-10-0
102,377810,3778-10-0
103,379110,3791-10-0
104,379510,3795-10-0
105,390110,3901-10-0
106,400110,4001-10-0
107,400310,4003-10-0
108,401010,4010-10-0
109,401110,4011-10-0
110,401710,4017-10-0
111,401810,4018-10-0
112,402410,4024-10-0
113,407G10,407G-10-0
114,407J10,407J-10-0
115,407L10,407L-10-0
116,407W10,407W-10-0
117,408A10,408A-10-0
118,421010,4210-10-0
119,422110,4221-10-0
120,431010,4310-10-0
121,431110,4311-10-0
122,431410,4314-10-0
123,470810,4708-10-0
124,473410,4734-10-0
125,475R10,475R-10-0
126,476A10,476A-10-0
127,478P10,478P-10-0
128,501210,5012-10-0
129,501310,5013-10-0
130,501510,5015-10-0
131,501810,5018-10-0
132,502110,5021-10-0
133,502210,5022-10-0
134,502410,5024-10-0
135,502910,5029-10-0
136,502J10,502J-10-0
137,503010,5030-10-0
138,503610,5036-10-0
139,507T10,507T-10-0
140,509M10,509M-10-0
141,510510,5105-10-0
142,510610,5106-10-0
143,510710,5107-10-0
144,510810,5108-10-0
145,511910,5119-10-0
146,512310,5123-10-0
147,512810,5128-10-0
148,514110,5141-10-0
149,514210,5142-10-0
150,514310,5143-10-0
151,514410,5144-10-0
152,529010,5290-10-0
153,531710,5317-10-0
154,537010,5370-10-0
155,539110,5391-10-0
156,546J10,546J-10-0
157,563210,5632-10-0
158,570110,5701-10-0
159,574A10,574A-10-0
160,574C10,574C-10-0
161,574R10,574R-10-0
162,575710,5757-10-0
163,576M10,576M-10-0
164,577T10,577T-10-0
165,600110,6001-10-0
166,600310,6003-10-0
167,601310,6013-10-0
168,601510,6015-10-0
169,602210,6022-10-0
170,602710,6027-10-0
171,602810,6028-10-0
172,603010,6030-10-0
173,603110,6031-10-0
174,603410,6034-10-0
175,603610,6036-10-0
176,603710,6037-10-0
177,604110,6041-10-0
178,604210,6042-10-0
179,604310,6043-10-0
180,604610,6046-10-0
181,604810,6048-10-0
182,605210,6052-10-0
183,605610,6056-10-0
184,605810,6058-10-0
185,606310,6063-10-0
186,607110,6071-10-0
187,607410,6074-10-0
188,607510,6075-10-0
189,607G10,607G-10-0
190,609210,6092-10-0
191,609310,6093-10-0
192,609F10,609F-10-0
193,620010,6200-10-0
194,637G10,637G-10-0
195,645010,6450-10-0
196,675G10,675G-10-0
197,675I10,675I-10-0
198,675R10,675R-10-0
199,680310,6803-10-0
200,680510,6805-10-0
201,682010,6820-10-0
202,682310,6823-10-0
203,682510,6825-10-0
204,683510,6835-10-0
205,683610,6836-10-0
206,683710,6837-10-0
207,684010,6840-10-0
208,691310,6913-10-0
209,695H10,695H-10-0
210,696010,6960-10-0
211,701310,7013-10-0
212,701610,7016-10-0
213,701U10,701U-10-0
214,702C10,702C-10-0
215,702U10,702U-10-0
216,705510,7055-10-0
217,706210,7062-10-0
218,709G10,709G-10-0
219,709P10,709P-10-0
220,719R10,719R-10-0
221,736G10,736G-10-0
222,737A10,737A-10-0
223,745810,7458-10-0
224,754510,7545-10-0
225,760010,7600-10-0
226,775P10,775P-10-0
227,778J10,778J-10-0
228,800210,8002-10-0
229,800610,8006-10-0
230,804310,8043-10-0
231,807J10,807J-10-0
232,807M10,807M-10-0
233,809P10,809P-10-0
234,809T10,809T-10-0
235,809U10,809U-10-0
236,819410,8194-10-0
237,830010,8300-10-0
238,847J10,847J-10-0
239,854210,8542-10-0
240,854410,8544-10-0
241,854910,8549-10-0
242,857A10,857A-10-0
243,857C10,857C-10-0
244,857P10,857P-10-0
245,859410,8594-10-0
246,860510,8605-10-0
247,862210,8622-10-0
248,875A10,875A-10-0
249,875H10,875H-10-0
250,875P10,875P-10-0
251,888P10,888P-10-0
252,900410,9004-10-0
253,900510,9005-10-0
254,900610,9006-10-0
255,900810,9008-10-0
256,901210,9012-10-0
257,901810,9018-10-0
258,902010,9020-10-0
259,902310,9023-10-0
260,905110,9051-10-0
261,919110,9191-10-0
262,930P10,930P-10-0
263,938L10,938L-10-0
264,948A10,948A-10-0
265,971710,9717-10-0
266,978410,9784-10-0
267,978510,9785-10-0
268,978910,9789-10-0
