date,temp_max,temp_med,temp_min,umid_med,umid_min,chuva_mm,neb_dec_00,neb_dec_12,neb_dec_18
2017-01-01,31.8,25.3,22.4,62.6,36,0.2,10,6,7
2017-01-02,31.6,25,18.7,62.7,35,15.4,10,6,
2017-01-03,31.5,23.7,20.7,70.7,37,3.8,10,7,
2017-01-04,30.1,24.2,19.7,65.2,40,5,10,10,
2017-01-05,31.3,25.7,23.1,59.8,38,0,10,5,
2017-01-06,30.8,24.8,22.1,63.8,37,0,2,10,
2017-01-07,30.7,23.4,21.4,76.4,43,0.6,10,10,
2017-01-08,31,23.8,18.9,77,42,77.4,10,10,
2017-01-09,30.8,24.8,21.3,69.5,43,11,3,10,
2017-01-10,30.5,24.7,20.7,67.5,44,16.4,10,10,
2017-01-11,30.3,24,21.3,74,44,0,6,10,10
2017-01-12,25.9,22.6,20.8,77.4,58,16.2,10,10,
2017-01-13,28.5,22.4,19.2,73.7,47,4.2,10,10,
2017-01-14,32.4,24.3,20.7,66.4,32,0,10,4,
2017-01-15,30.8,24.1,20.8,70.3,41,0,10,6,
2017-01-16,29.3,23.2,18.8,77.7,50,113.4,10,8,
2017-01-17,24,21.5,19.7,79.9,68,31,10,10,
2017-01-18,23.4,21.1,19.2,84.3,74,31,10,10,
2017-01-19,26,21.2,19.9,81.5,59,32.4,10,10,
2017-01-20,24.7,20.2,18.6,83.8,63,17,10,10,
2017-01-21,22.1,19.7,19.1,87.9,76,15.8,10,10,
2017-01-22,22.6,19,17.1,85.1,71,45.8,10,10,
2017-01-23,25.9,21.3,18.5,78.6,59,5.2,10,10,
2017-01-24,29.6,23.5,19,71.3,45,9,10,5,
2017-01-25,28.4,23.9,20.5,68.7,47,9,2,10,
2017-01-26,25.3,22.2,21.5,75.9,61,1,10,10,
2017-01-27,26,21.9,19.2,80.2,60,9.2,10,10,
2017-01-28,30.1,23.4,20.1,74.8,44,11.4,10,10,
2017-01-29,32.6,24.7,20.9,66.7,24,0,10,10,
2017-01-30,29.3,23.6,21.4,71,43,0,10,8,
