,linhas,date,mean_geral,median_geral,std_geral,perc95_geral,cv_geral,trips_geral,ltt_mean,rbt_mean,ltt_median,rbt_median,ltt_cv,ltt_std,route_category,origin_sector,destination_sector,direction,planned_headway,passenger_two_dir,passenger_one_way,bus_stops_one_dir,planned_tt,length_round_trip,bus_lane,demand,frequency,capacity_per_trip,conforto_pass_m2,temp_max,temp_med,temp_min,umid_med,umid_min,chuva_mm,stops_km,dist_stops_to_stops,confort_index_geral,ipk,ewt_mean,ewt_median,customer_w_appointment,customer_appointment
0,172P_10_0,2017-03-02,537.2758620689655,470.515,316.22506108963915,1052.25,0.5885711296835592,116,4899.846606341261,699.6437619627949,4991.396016646232,728.8619505572124,0.20540677461531318,1010.9448352636392,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,28.8,25.1,22.8,62.8,48,0.0,3.7142857142857144,0.2692307692307692,1.7211598746081505,4.507799671592775,361.69840175437344,316.754456167275,6081.956368957818,6772.507967203444
1,172P_10_0,2017-03-03,655.5371276595745,577.0,404.4806402697096,1335.3999999999996,0.6170217112092536,94,5308.6099762045815,804.6898098251756,5337.1264222795435,1327.7590885714862,0.18120784284363678,967.3509459788912,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,28.5,22.7,20.3,77.7,54,7.2,3.7142857142857144,0.2692307692307692,2.1239845261121855,5.562816616008106,452.5552322349026,398.3365060218873,7117.440743085932,8000.285510851029
2,172P_10_0,2017-03-06,548.2909090909092,504.50000000000006,341.5160171866578,970.5499999999997,0.6228737546513522,110,4936.653151667403,827.8334537566698,5183.29180132438,1044.1242822241302,0.2645753435631916,1312.0943857028994,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,27.9,22.3,20.1,84.2,55,30.0,3.7142857142857144,0.2692307692307692,1.8150413223140496,4.7536796536796535,380.50613649476924,350.11586491539356,6607.92222004328,7197.96608354851
3,172P_10_0,2017-03-07,583.7383177570094,493.00000000000006,510.23209412767926,1085.9999999999995,0.8740767542693191,107,5302.92840607859,938.6508522260066,5550.624822399945,1435.2236403679926,0.2620843771730383,1396.5450653382002,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,29.7,22.9,20.0,77.3,42,35.2,3.7142857142857144,0.2692307692307692,1.8659303313508921,4.886960391633289,514.8601652580845,434.828507485258,7500.708628026022,8071.848462767937
4,172P_10_0,2017-03-08,585.4563106796118,515.0,318.2611204360908,1158.5999999999995,0.5436120759662589,103,4932.876080351074,773.6386305305427,5215.555195959618,838.1354725676565,0.26280049539790645,1302.7641056118812,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,28.5,22.9,16.5,79.7,51,41.6,3.7142857142857144,0.2692307692307692,1.9383936451897616,5.076745261211281,379.23344952961133,333.594877952609,6432.924118056886,7212.290668527274
5,172P_10_0,2017-03-09,599.4411764705883,512.992,321.4916325944516,1080.5,0.5363189003587338,102,5172.371470033024,749.9528430909794,5261.939569490356,810.1356578488449,0.16321468423374969,848.5474005959246,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,31.1,24.6,20.6,69.5,40,0.0,3.7142857142857144,0.2692307692307692,1.957397504456328,5.1265172735760975,385.9316076690893,330.2739869273818,6458.00683500829,7152.575227339201
6,172P_10_0,2017-03-10,593.447619047619,501.00000000000006,448.0859173072122,1067.5783999999999,0.7550555481649969,105,5445.429675151943,1109.8268519292624,5362.820297901257,3076.0613686181023,0.2879051630128825,1575.6654404188334,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,31.1,25.3,21.6,67.9,43,0.0,3.7142857142857144,0.2692307692307692,1.9014718614718615,4.9800453514739225,465.88868848251576,393.3122746440934,8904.770355001874,9506.46006651936
7,172P_10_0,2017-03-13,574.7129629629629,516.0,290.69971846396186,1072.977449999999,0.505817229117722,108,4984.243434129435,755.1228406998949,5110.816852012434,1553.2004164346863,0.25979595000283157,1300.979874062966,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,27.5,23.1,21.3,72.7,50,0.0,3.7142857142857144,0.2692307692307692,1.8486531986531987,4.841710758377425,360.876944530853,324.0095758722611,7024.8942129779725,7736.994718447118
8,172P_10_0,2017-03-14,599.7307692307693,505.92400000000004,436.8855068220614,1240.8,0.7284693886598855,104,5308.410317368878,983.7256397671893,5436.129126058428,1288.0546548104194,0.22880495120146024,1220.47239252036,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,25.9,21.6,19.5,76.7,62,1.2,3.7142857142857144,0.2692307692307692,1.9197552447552448,5.027930402930403,458.9942436499003,387.2007501335622,7183.178024518747,7964.983780868847
9,172P_10_0,2017-03-15,547.8648648648648,508.00000000000006,317.1249485519287,1022.8465,0.5788379012590086,111,5268.245173898119,1332.1206748092175,5259.812384210631,1648.1528007100114,0.20608979096624377,1090.7005957052863,0,2,9,0,448,21962,10981,78,93,42,0,0,0,55,6,28.3,23.0,19.9,73.4,48,2.4,3.7142857142857144,0.2692307692307692,1.7986895986895988,4.710853710853711,365.71440226076714,339.1035422472192,7273.679587181409,7930.811684920642
